,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
15516,2010,VA,Craig,193.66667,7.93333,44,2440.33333,"(37.44658950000001, -80.23213129999999)",0.01803,"[193.66667, 566.75, 794.91667, 2751.33333, 1883.83333, 3120.58333, 2406.41667, 687.25, 1141.0, 3357.25, 839.0, 2040.83333, 461.0, 452.58333, 1350.25]","[7.93333, 6.975, 9.56667, 7.04167, 11.09167, 6.33333, 8.71667, 8.64167, 6.45833, 7.05833, 7.54167, 8.48333, 7.98333, 9.475, 8.75833]","[44, 352, 542, 2494, 2266, 3251, 1693, 568, 770, 4748, 647, 3689, 183, 539, 530]","[0.01803, 0.04328, 0.06528, 0.06386, 0.13349, 0.066, 0.06129, 0.07143, 0.0435, 0.09996, 0.05807, 0.15323, 0.03175, 0.1127, 0.03435]","['(37.44658950000001, -80.23213129999999)', '(36.9446308, -80.32131059999999)', '(37.3132885, -80.6770787)', '(37.2538794, -79.4703885)', '(37.0583986, -80.6770787)', '(37.2467123, -80.1205256)', '(36.9458815, -79.8296743)', '(37.8531975, -80.0534923)', '(37.5774613, -79.7848422)', '(37.2070304, -80.4103957)', '(37.8062214, -79.5153773)', '(37.4322638, -81.1196075)', '(37.5601958, -80.5882803)', '(37.5812062, -80.8543847)', '(38.0198478, -80.54384499999999)']",15,False,False,False,True
15522,2010,VA,Essex,519.41667,9.075,337,5715.41667,"(37.9671684, -76.964306)",0.05896,"[3283.5, 5407.0, 519.41667, 3575.0, 12248.5, 1369.58333, 744.08333, 307.66667, 4156.0, 546.0, 370.5, 1333.5, 2037.83333, 839.58333, 373.91667, 645.33333, 4434.91667, 741.58333, 289.83333, 533.0]","[6.875, 6.90833, 9.075, 6.55833, 7.31667, 9.54167, 7.23333, 7.05, 6.5, 9.825, 7.175, 6.84167, 6.325, 7.35833, 9.6, 7.45, 6.99167, 8.09167, 8.075, 8.70833]","[4482, 8884, 337, 2429, 16637, 1000, 605, 141, 4597, 277, 350, 1229, 2076, 853, 89, 304, 5295, 337, 158, 265]","[0.09371, 0.11358, 0.05896, 0.04463, 0.09921, 0.06973, 0.05877, 0.0323, 0.07194, 0.04973, 0.06783, 0.06286, 0.06439, 0.07474, 0.02281, 0.03512, 0.08357, 0.03672, 0.04399, 0.04309]","['(38.49495030000001, -76.5025742)', '(38.5221781, -77.10249019999999)', '(37.9671684, -76.964306)', '(37.7772071, -77.5160788)', '(37.5059332, -77.3324425)', '(38.0445557, -77.2864879)', '(37.4653757, -76.964306)', '(37.9175609, -76.7105632)', '(38.4334566, -77.4242972)', '(37.7475945, -76.5025742)', '(37.6040106, -76.5257007)', '(37.4128281, -76.5025742)', '(37.3002132, -76.8028933)', '(38.2372863, -77.1485163)', '(37.4018216, -77.1485163)', '(37.7372121, -77.1485163)', '(38.204165, -77.6077865)', '(38.112732, -76.7798172)', '(37.7298568, -76.8951551)', '(37.9035732, -76.4100267)']",20,False,False,False,False
15528,2010,VA,Floyd,566.75,6.975,352,8133.41667,"(36.9446308, -80.32131059999999)",0.04328,"[4133.16667, 2602.5, 5840.75, 248.91667, 193.66667, 566.75, 794.91667, 3539.75, 1590.25, 1615.5, 1056.0, 1883.83333, 3120.58333, 2406.41667, 3357.25, 3368.0, 461.0]","[12.0, 11.39167, 13.225, 8.58333, 7.93333, 6.975, 9.56667, 14.73333, 11.14167, 11.55, 12.69167, 11.09167, 6.33333, 8.71667, 7.05833, 10.9, 7.98333]","[4183, 2079, 7621, 86, 44, 352, 542, 2440, 1049, 1083, 635, 2266, 3251, 1693, 4748, 1676, 183]","[0.12152, 0.091, 0.17238, 0.02971, 0.01803, 0.04328, 0.06528, 0.10164, 0.07347, 0.07734, 0.07631, 0.13349, 0.066, 0.06129, 0.09996, 0.05422, 0.03175]","['(36.3743453, -80.6770787)', '(36.4244396, -80.23213129999999)', '(36.4335041, -79.8296743)', '(37.0924986, -81.1196075)', '(37.44658950000001, -80.23213129999999)', '(36.9446308, -80.32131059999999)', '(37.3132885, -80.6770787)', '(36.6588867, -79.96403389999999)', '(36.9484414, -81.0848477)', '(36.6778699, -80.7214417)', '(36.6886252, -80.32131059999999)', '(37.0583986, -80.6770787)', '(37.2467123, -80.1205256)', '(36.9458815, -79.8296743)', '(37.2070304, -80.4103957)', '(36.7440186, -79.4703885)', '(37.5601958, -80.5882803)']",17,False,False,False,False
15534,2010,VA,Giles,794.91667,9.56667,542,8302.16667,"(37.3132885, -80.6770787)",0.06528,"[248.91667, 193.66667, 566.75, 794.91667, 1590.25, 1615.5, 1056.0, 1883.83333, 3120.58333, 3357.25, 2040.83333, 461.0, 2645.75, 452.58333, 1350.25]","[8.58333, 7.93333, 6.975, 9.56667, 11.14167, 11.55, 12.69167, 11.09167, 6.33333, 7.05833, 8.48333, 7.98333, 8.15833, 9.475, 8.75833]","[86, 44, 352, 542, 1049, 1083, 635, 2266, 3251, 4748, 3689, 183, 5874, 539, 530]","[0.02971, 0.01803, 0.04328, 0.06528, 0.07347, 0.07734, 0.07631, 0.13349, 0.066, 0.09996, 0.15323, 0.03175, 0.18091, 0.1127, 0.03435]","['(37.0924986, -81.1196075)', '(37.44658950000001, -80.23213129999999)', '(36.9446308, -80.32131059999999)', '(37.3132885, -80.6770787)', '(36.9484414, -81.0848477)', '(36.6778699, -80.7214417)', '(36.6886252, -80.32131059999999)', '(37.0583986, -80.6770787)', '(37.2467123, -80.1205256)', '(37.2070304, -80.4103957)', '(37.4322638, -81.1196075)', '(37.5601958, -80.5882803)', '(37.7381597, -81.2518833)', '(37.5812062, -80.8543847)', '(38.0198478, -80.54384499999999)']",15,False,False,False,False
15540,2010,VA,Henry,3539.75,14.73333,2440,24006.41667,"(36.6588867, -79.96403389999999)",0.10164,"[4133.16667, 2602.5, 1331.5, 17548.5, 27970.75, 5840.75, 566.75, 3539.75, 2751.33333, 1615.5, 1056.0, 1883.83333, 3120.58333, 2406.41667, 3357.25, 3368.0]","[12.0, 11.39167, 13.21667, 10.14167, 11.09167, 13.225, 6.975, 14.73333, 7.04167, 11.55, 12.69167, 11.09167, 6.33333, 8.71667, 7.05833, 10.9]","[4183, 2079, 1123, 36356, 35342, 7621, 352, 2440, 2494, 1083, 635, 2266, 3251, 1693, 4748, 1676]","[0.12152, 0.091, 0.11154, 0.21015, 0.14024, 0.17238, 0.04328, 0.10164, 0.06386, 0.07734, 0.07631, 0.13349, 0.066, 0.06129, 0.09996, 0.05422]","['(36.3743453, -80.6770787)', '(36.4244396, -80.23213129999999)', '(36.3860217, -79.29021329999999)', '(36.1200003, -80.1875065)', '(36.0899873, -79.8296743)', '(36.4335041, -79.8296743)', '(36.9446308, -80.32131059999999)', '(36.6588867, -79.96403389999999)', '(37.2538794, -79.4703885)', '(36.6778699, -80.7214417)', '(36.6886252, -80.32131059999999)', '(37.0583986, -80.6770787)', '(37.2467123, -80.1205256)', '(36.9458815, -79.8296743)', '(37.2070304, -80.4103957)', '(36.7440186, -79.4703885)']",16,True,False,False,False
15546,2010,VA,Scott,853.08333,8.45833,1046,10071.66667,"(36.6815794, -82.605118)",0.10386,"[1213.91667, 990.25, 801.83333, 1415.75, 853.08333, 1237.33333, 578.5, 2177.08333]","[11.90833, 11.425, 7.90833, 8.35833, 8.45833, 10.24167, 10.5, 7.95]","[497, 142, 615, 1723, 1046, 955, 491, 2709]","[0.04876, 0.0164, 0.06073, 0.10149, 0.10386, 0.07905, 0.08907, 0.09881]","['(36.8890304, -83.2077645)', '(37.12535099999999, -82.8640623)', '(36.7075931, -83.03613759999999)', '(37.0240877, -82.605118)', '(36.6815794, -82.605118)', '(36.9904385, -82.08429009999999)', '(37.0929465, -82.34518899999999)', '(36.7678354, -81.9534815)']",8,False,False,True,False
15552,2010,VA,Smyth,1660.5,12.11667,1358,13706.83333,"(36.8687921, -81.5596427)",0.09907,"[1622.16667, 4176.0, 2109.75, 568.58333, 248.91667, 1660.5, 1590.25, 1615.5, 917.66667, 1237.33333, 829.33333, 1615.41667, 578.5, 2177.08333, 2040.83333, 841.08333]","[11.83333, 13.43333, 7.85, 12.01667, 8.58333, 12.11667, 11.14167, 11.55, 12.45, 10.24167, 9.95833, 8.78333, 10.5, 7.95, 8.48333, 13.225]","[138, 3523, 2253, 132, 86, 1358, 1049, 1083, 308, 955, 994, 2505, 491, 2709, 3689, 506]","[0.01006, 0.11335, 0.08381, 0.02781, 0.02971, 0.09907, 0.07347, 0.07734, 0.04178, 0.07905, 0.11938, 0.13618, 0.08907, 0.09881, 0.15323, 0.07954]","['(36.4339674, -81.47183869999999)', '(36.202858, -81.2518833)', '(36.1941825, -81.73494199999999)', '(36.4940839, -81.1196075)', '(37.0924986, -81.1196075)', '(36.8687921, -81.5596427)', '(36.9484414, -81.0848477)', '(36.6778699, -80.7214417)', '(36.6721195, -81.20781640000001)', '(36.9904385, -82.08429009999999)', '(37.2403134, -81.9971108)', '(37.124747, -81.5596427)', '(37.0929465, -82.34518899999999)', '(36.7678354, -81.9534815)', '(37.4322638, -81.1196075)', '(37.3860467, -81.64734399999999)']",16,False,False,False,False
15558,2010,VA,Surry,330.66667,8.975,158,3693.25,"(37.1185515, -76.8720961)",0.04278,"[1912.41667, 330.66667, 488.66667, 12248.5, 267.83333, 744.08333, 1198.66667, 546.0, 370.5, 1333.5, 2037.83333, 535.66667, 815.83333, 373.91667, 12295.0, 645.33333, 1342.25, 1123.58333, 289.83333]","[6.11667, 8.975, 11.40833, 7.31667, 6.35, 7.23333, 8.84167, 9.825, 7.175, 6.84167, 6.325, 8.475, 8.58333, 9.6, 7.29167, 7.45, 7.13333, 8.05833, 8.075]","[2597, 158, 471, 16637, 200, 605, 1055, 277, 350, 1229, 2076, 526, 677, 89, 15203, 304, 1354, 1037, 158]","[0.083, 0.04278, 0.11002, 0.09921, 0.04735, 0.05877, 0.07777, 0.04973, 0.06783, 0.06286, 0.06439, 0.08304, 0.07131, 0.02281, 0.09017, 0.03512, 0.07202, 0.07427, 0.04399]","['(37.2103925, -76.3868797)', '(37.1185515, -76.8720961)', '(36.9058167, -77.2405153)', '(37.5059332, -77.3324425)', '(37.3912302, -76.317414)', '(37.4653757, -76.964306)', '(37.0769043, -77.6536125)', '(37.7475945, -76.5025742)', '(37.6040106, -76.5257007)', '(37.4128281, -76.5025742)', '(37.3002132, -76.8028933)', '(37.226762, -75.9927652)', '(36.6788512, -77.10249019999999)', '(37.4018216, -77.1485163)', '(37.3673217, -77.6077865)', '(37.7372121, -77.1485163)', '(36.9288915, -76.6874701)', '(37.1593052, -77.2405153)', '(37.7298568, -76.8951551)']",19,False,False,False,False
15564,2010,VA,Wythe,1590.25,11.14167,1049,14277.25,"(36.9484414, -81.0848477)",0.07347,"[1622.16667, 4133.16667, 568.58333, 248.91667, 566.75, 794.91667, 1660.5, 1590.25, 1615.5, 917.66667, 1056.0, 1883.83333, 1615.41667, 3357.25, 2177.08333, 2040.83333, 452.58333, 841.08333]","[11.83333, 12.0, 12.01667, 8.58333, 6.975, 9.56667, 12.11667, 11.14167, 11.55, 12.45, 12.69167, 11.09167, 8.78333, 7.05833, 7.95, 8.48333, 9.475, 13.225]","[138, 4183, 132, 86, 352, 542, 1358, 1049, 1083, 308, 635, 2266, 2505, 4748, 2709, 3689, 539, 506]","[0.01006, 0.12152, 0.02781, 0.02971, 0.04328, 0.06528, 0.09907, 0.07347, 0.07734, 0.04178, 0.07631, 0.13349, 0.13618, 0.09996, 0.09881, 0.15323, 0.1127, 0.07954]","['(36.4339674, -81.47183869999999)', '(36.3743453, -80.6770787)', '(36.4940839, -81.1196075)', '(37.0924986, -81.1196075)', '(36.9446308, -80.32131059999999)', '(37.3132885, -80.6770787)', '(36.8687921, -81.5596427)', '(36.9484414, -81.0848477)', '(36.6778699, -80.7214417)', '(36.6721195, -81.20781640000001)', '(36.6886252, -80.32131059999999)', '(37.0583986, -80.6770787)', '(37.124747, -81.5596427)', '(37.2070304, -80.4103957)', '(36.7678354, -81.9534815)', '(37.4322638, -81.1196075)', '(37.5812062, -80.8543847)', '(37.3860467, -81.64734399999999)']",18,False,False,False,False
15570,2010,VA,Amelia,528.41667,8.475,368,6227.83333,"(37.3212714, -77.973865)",0.05909,"[528.41667, 1345.16667, 488.66667, 3575.0, 12248.5, 824.66667, 520.66667, 953.41667, 785.16667, 536.41667, 1198.66667, 750.0, 527.08333, 632.08333, 700.33333, 382.41667, 373.91667, 12295.0, 994.5, 1123.58333]","[8.475, 7.54167, 11.40833, 6.55833, 7.31667, 6.31667, 7.59167, 7.06667, 11.28333, 10.025, 8.84167, 7.16667, 9.5, 8.61667, 10.66667, 8.46667, 9.6, 7.29167, 9.66667, 8.05833]","[368, 776, 471, 2429, 16637, 595, 544, 548, 426, 262, 1055, 421, 334, 238, 466, 110, 89, 15203, 353, 1037]","[0.05909, 0.04345, 0.11002, 0.04463, 0.09921, 0.0455, 0.07932, 0.04056, 0.06127, 0.04891, 0.07777, 0.04016, 0.06021, 0.03241, 0.07094, 0.02432, 0.02281, 0.09017, 0.03434, 0.07427]","['(37.3212714, -77.973865)', '(37.9925909, -77.973865)', '(36.9058167, -77.2405153)', '(37.7772071, -77.5160788)', '(37.5059332, -77.3324425)', '(37.8532863, -78.24761459999999)', '(37.1148487, -78.0195387)', '(37.5643209, -77.88245959999999)', '(36.7570589, -77.8367282)', '(37.0467412, -78.6114999)', '(37.0769043, -77.6536125)', '(37.74159969999999, -77.973865)', '(36.92614349999999, -78.24761459999999)', '(37.402489, -78.792953)', '(37.50700800000001, -78.5660852)', '(37.5175385, -78.24761459999999)', '(37.4018216, -77.1485163)', '(37.3673217, -77.6077865)', '(37.1982888, -78.4297187)', '(37.1593052, -77.2405153)']",20,False,False,False,False
15576,2010,VA,Clarke,513.75,6.66667,413,7695.08333,"(39.15165830000001, -77.973865)",0.05367,"[3213.25, 8829.25, 29839.0, 7274.16667, 1435.58333, 513.75, 1622.83333, 31022.25, 8952.33333, 1672.33333, 2210.5, 3149.16667, 1714.0, 254.16667, 13297.16667, 702.33333, 4377.75, 888.0, 1791.75]","[9.34167, 6.9, 5.6, 9.6, 11.65, 6.66667, 8.08333, 5.1, 5.10833, 7.18333, 6.18333, 7.51667, 8.23333, 6.31667, 6.1, 9.15, 8.59167, 9.09167, 6.675]","[4998, 9418, 45431, 7001, 998, 413, 1795, 35933, 7777, 1593, 1894, 3363, 1432, 138, 16435, 592, 5106, 599, 1637]","[0.14522, 0.07363, 0.08531, 0.09236, 0.08091, 0.05367, 0.08929, 0.05886, 0.04433, 0.06848, 0.05296, 0.08011, 0.06874, 0.03428, 0.07525, 0.07711, 0.10008, 0.06134, 0.06093]","['(39.6255251, -78.6114999)', '(39.3844507, -77.4701972)', '(39.1547426, -77.2405153)', '(39.641762, -77.719993)', '(38.63013309999999, -78.52065)', '(39.15165830000001, -77.973865)', '(38.9331749, -78.24761459999999)', '(38.9085472, -77.2405153)', '(39.076767, -77.6536125)', '(38.491821, -77.973865)', '(38.7208787, -77.79097759999999)', '(39.2096441, -78.2601024)', '(38.8413778, -78.5660852)', '(38.6762327, -78.1564432)', '(38.7838939, -77.6077865)', '(39.5073361, -78.24761459999999)', '(39.4885604, -78.0651931)', '(39.3349019, -78.5660852)', '(39.3059841, -77.88245959999999)']",19,False,False,False,False
15582,2010,VA,Greene,647.58333,6.70833,586,9654.58333,"(38.3120359, -78.4524591)",0.0607,"[1435.58333, 647.58333, 1345.16667, 539.5, 1278.41667, 1622.83333, 2649.25, 452.08333, 1672.33333, 2210.5, 824.66667, 3050.33333, 750.0, 2717.41667, 1714.0, 254.16667, 4434.91667]","[11.65, 6.70833, 7.54167, 7.11667, 8.28333, 8.08333, 7.125, 6.30833, 7.18333, 6.18333, 6.31667, 5.98333, 7.16667, 6.725, 8.23333, 6.31667, 6.99167]","[998, 586, 776, 464, 732, 1795, 1669, 238, 1593, 1894, 595, 4567, 421, 1257, 1432, 138, 5295]","[0.08091, 0.0607, 0.04345, 0.06127, 0.04736, 0.08929, 0.04495, 0.0332, 0.06848, 0.05296, 0.0455, 0.08957, 0.04016, 0.03113, 0.06874, 0.03428, 0.08357]","['(38.63013309999999, -78.52065)', '(38.3120359, -78.4524591)', '(37.9925909, -77.973865)', '(37.7478599, -78.8835548)', '(38.24266739999999, -77.973865)', '(38.9331749, -78.24761459999999)', '(38.2004562, -79.24511489999999)', '(38.436934, -78.24761459999999)', '(38.491821, -77.973865)', '(38.7208787, -77.79097759999999)', '(37.8532863, -78.24761459999999)', '(38.0567092, -78.6114999)', '(37.74159969999999, -77.973865)', '(38.5825919, -78.8835548)', '(38.8413778, -78.5660852)', '(38.6762327, -78.1564432)', '(38.204165, -77.6077865)']",17,False,False,False,False
15588,2010,VA,Louisa,1345.16667,7.54167,776,17858.58333,"(37.9925909, -77.973865)",0.04345,"[528.41667, 647.58333, 1345.16667, 1278.41667, 3575.0, 12248.5, 452.08333, 1369.58333, 1672.33333, 824.66667, 953.41667, 4156.0, 3050.33333, 750.0, 700.33333, 382.41667, 839.58333, 12295.0, 645.33333, 254.16667, 4434.91667]","[8.475, 6.70833, 7.54167, 8.28333, 6.55833, 7.31667, 6.30833, 9.54167, 7.18333, 6.31667, 7.06667, 6.5, 5.98333, 7.16667, 10.66667, 8.46667, 7.35833, 7.29167, 7.45, 6.31667, 6.99167]","[368, 586, 776, 732, 2429, 16637, 238, 1000, 1593, 595, 548, 4597, 4567, 421, 466, 110, 853, 15203, 304, 138, 5295]","[0.05909, 0.0607, 0.04345, 0.04736, 0.04463, 0.09921, 0.0332, 0.06973, 0.06848, 0.0455, 0.04056, 0.07194, 0.08957, 0.04016, 0.07094, 0.02432, 0.07474, 0.09017, 0.03512, 0.03428, 0.08357]","['(37.3212714, -77.973865)', '(38.3120359, -78.4524591)', '(37.9925909, -77.973865)', '(38.24266739999999, -77.973865)', '(37.7772071, -77.5160788)', '(37.5059332, -77.3324425)', '(38.436934, -78.24761459999999)', '(38.0445557, -77.2864879)', '(38.491821, -77.973865)', '(37.8532863, -78.24761459999999)', '(37.5643209, -77.88245959999999)', '(38.4334566, -77.4242972)', '(38.0567092, -78.6114999)', '(37.74159969999999, -77.973865)', '(37.50700800000001, -78.5660852)', '(37.5175385, -78.24761459999999)', '(38.2372863, -77.1485163)', '(37.3673217, -77.6077865)', '(37.7372121, -77.1485163)', '(38.6762327, -78.1564432)', '(38.204165, -77.6077865)']",21,False,False,False,False
15594,2010,VA,Nelson,539.5,7.11667,464,7573.5,"(37.7478599, -78.8835548)",0.06127,"[188.83333, 647.58333, 539.5, 1321.66667, 2649.25, 2751.33333, 2142.41667, 824.66667, 3050.33333, 750.0, 632.08333, 700.33333, 382.41667, 839.0, 994.5]","[7.54167, 6.70833, 7.11667, 8.08333, 7.125, 7.04167, 7.71667, 6.31667, 5.98333, 7.16667, 8.61667, 10.66667, 8.46667, 7.54167, 9.66667]","[95, 586, 464, 1005, 1669, 2494, 1944, 595, 4567, 421, 238, 466, 110, 647, 353]","[0.03787, 0.0607, 0.06127, 0.06146, 0.04495, 0.06386, 0.07004, 0.0455, 0.08957, 0.04016, 0.03241, 0.07094, 0.02432, 0.05807, 0.03434]","['(38.111733, -79.6502105)', '(38.3120359, -78.4524591)', '(37.7478599, -78.8835548)', '(37.5588285, -79.1096901)', '(38.2004562, -79.24511489999999)', '(37.2538794, -79.4703885)', '(37.221014, -79.1096901)', '(37.8532863, -78.24761459999999)', '(38.0567092, -78.6114999)', '(37.74159969999999, -77.973865)', '(37.402489, -78.792953)', '(37.50700800000001, -78.5660852)', '(37.5175385, -78.24761459999999)', '(37.8062214, -79.5153773)', '(37.1982888, -78.4297187)']",15,False,False,False,False
15600,2010,VA,Orange,1278.41667,8.28333,732,15456.16667,"(38.24266739999999, -77.973865)",0.04736,"[1435.58333, 647.58333, 1345.16667, 1278.41667, 1622.83333, 3575.0, 452.08333, 1369.58333, 1672.33333, 2210.5, 824.66667, 953.41667, 4156.0, 3050.33333, 750.0, 839.58333, 254.16667, 4434.91667, 13297.16667]","[11.65, 6.70833, 7.54167, 8.28333, 8.08333, 6.55833, 6.30833, 9.54167, 7.18333, 6.18333, 6.31667, 7.06667, 6.5, 5.98333, 7.16667, 7.35833, 6.31667, 6.99167, 6.1]","[998, 586, 776, 732, 1795, 2429, 238, 1000, 1593, 1894, 595, 548, 4597, 4567, 421, 853, 138, 5295, 16435]","[0.08091, 0.0607, 0.04345, 0.04736, 0.08929, 0.04463, 0.0332, 0.06973, 0.06848, 0.05296, 0.0455, 0.04056, 0.07194, 0.08957, 0.04016, 0.07474, 0.03428, 0.08357, 0.07525]","['(38.63013309999999, -78.52065)', '(38.3120359, -78.4524591)', '(37.9925909, -77.973865)', '(38.24266739999999, -77.973865)', '(38.9331749, -78.24761459999999)', '(37.7772071, -77.5160788)', '(38.436934, -78.24761459999999)', '(38.0445557, -77.2864879)', '(38.491821, -77.973865)', '(38.7208787, -77.79097759999999)', '(37.8532863, -78.24761459999999)', '(37.5643209, -77.88245959999999)', '(38.4334566, -77.4242972)', '(38.0567092, -78.6114999)', '(37.74159969999999, -77.973865)', '(38.2372863, -77.1485163)', '(38.6762327, -78.1564432)', '(38.204165, -77.6077865)', '(38.7838939, -77.6077865)']",19,False,False,False,False
15606,2010,VA,Sussex,488.66667,11.40833,471,4281.0,"(36.9058167, -77.2405153)",0.11002,"[3356.0, 1042.66667, 1012.75, 330.66667, 528.41667, 488.66667, 12248.5, 744.08333, 520.66667, 785.16667, 1198.66667, 2037.83333, 437.58333, 815.83333, 373.91667, 12295.0, 1342.25, 1123.58333]","[14.725, 10.60833, 11.65, 8.975, 8.475, 11.40833, 7.31667, 7.23333, 7.59167, 11.28333, 8.84167, 6.325, 9.59167, 8.58333, 9.6, 7.29167, 7.13333, 8.05833]","[4988, 1313, 1034, 158, 368, 471, 16637, 605, 544, 426, 1055, 2076, 332, 677, 89, 15203, 1354, 1037]","[0.21886, 0.13358, 0.11882, 0.04278, 0.05909, 0.11002, 0.09921, 0.05877, 0.07932, 0.06127, 0.07777, 0.06439, 0.07278, 0.07131, 0.02281, 0.09017, 0.07202, 0.07427]","['(36.2646764, -77.6077865)', '(36.3761772, -77.0564464)', '(36.4159635, -77.4242972)', '(37.1185515, -76.8720961)', '(37.3212714, -77.973865)', '(36.9058167, -77.2405153)', '(37.5059332, -77.3324425)', '(37.4653757, -76.964306)', '(37.1148487, -78.0195387)', '(36.7570589, -77.8367282)', '(37.0769043, -77.6536125)', '(37.3002132, -76.8028933)', '(36.60568860000001, -77.6077865)', '(36.6788512, -77.10249019999999)', '(37.4018216, -77.1485163)', '(37.3673217, -77.6077865)', '(36.9288915, -76.6874701)', '(37.1593052, -77.2405153)']",18,False,False,False,False
15612,2010,VA,Warren,1622.83333,8.08333,1795,20103.08333,"(38.9331749, -78.24761459999999)",0.08929,"[1435.58333, 513.75, 647.58333, 1278.41667, 1622.83333, 8952.33333, 452.08333, 1672.33333, 2210.5, 3149.16667, 2717.41667, 1714.0, 254.16667, 13297.16667, 661.5, 702.33333, 1153.91667, 4377.75, 888.0, 1791.75]","[11.65, 6.66667, 6.70833, 8.28333, 8.08333, 5.10833, 6.30833, 7.18333, 6.18333, 7.51667, 6.725, 8.23333, 6.31667, 6.1, 11.58333, 9.15, 9.33333, 8.59167, 9.09167, 6.675]","[998, 413, 586, 732, 1795, 7777, 238, 1593, 1894, 3363, 1257, 1432, 138, 16435, 333, 592, 1062, 5106, 599, 1637]","[0.08091, 0.05367, 0.0607, 0.04736, 0.08929, 0.04433, 0.0332, 0.06848, 0.05296, 0.08011, 0.03113, 0.06874, 0.03428, 0.07525, 0.05832, 0.07711, 0.08591, 0.10008, 0.06134, 0.06093]","['(38.63013309999999, -78.52065)', '(39.15165830000001, -77.973865)', '(38.3120359, -78.4524591)', '(38.24266739999999, -77.973865)', '(38.9331749, -78.24761459999999)', '(39.076767, -77.6536125)', '(38.436934, -78.24761459999999)', '(38.491821, -77.973865)', '(38.7208787, -77.79097759999999)', '(39.2096441, -78.2601024)', '(38.5825919, -78.8835548)', '(38.8413778, -78.5660852)', '(38.6762327, -78.1564432)', '(38.7838939, -77.6077865)', '(39.0416116, -78.9288242)', '(39.5073361, -78.24761459999999)', '(39.4068988, -78.8835548)', '(39.4885604, -78.0651931)', '(39.3349019, -78.5660852)', '(39.3059841, -77.88245959999999)']",20,False,False,False,False
15618,2010,VA,Amherst,1321.66667,8.08333,1005,16351.25,"(37.5588285, -79.1096901)",0.06146,"[188.83333, 539.5, 1321.66667, 2649.25, 2751.33333, 2142.41667, 3050.33333, 1141.0, 536.41667, 632.08333, 700.33333, 382.41667, 839.0, 994.5]","[7.54167, 7.11667, 8.08333, 7.125, 7.04167, 7.71667, 5.98333, 6.45833, 10.025, 8.61667, 10.66667, 8.46667, 7.54167, 9.66667]","[95, 464, 1005, 1669, 2494, 1944, 4567, 770, 262, 238, 466, 110, 647, 353]","[0.03787, 0.06127, 0.06146, 0.04495, 0.06386, 0.07004, 0.08957, 0.0435, 0.04891, 0.03241, 0.07094, 0.02432, 0.05807, 0.03434]","['(38.111733, -79.6502105)', '(37.7478599, -78.8835548)', '(37.5588285, -79.1096901)', '(38.2004562, -79.24511489999999)', '(37.2538794, -79.4703885)', '(37.221014, -79.1096901)', '(38.0567092, -78.6114999)', '(37.5774613, -79.7848422)', '(37.0467412, -78.6114999)', '(37.402489, -78.792953)', '(37.50700800000001, -78.5660852)', '(37.5175385, -78.24761459999999)', '(37.8062214, -79.5153773)', '(37.1982888, -78.4297187)']",14,False,False,False,False
15624,2010,VA,Augusta,2649.25,7.125,1669,37130.33333,"(38.2004562, -79.24511489999999)",0.04495,"[188.83333, 1435.58333, 647.58333, 539.5, 1321.66667, 2649.25, 90.08333, 3050.33333, 839.0, 2717.41667, 315.41667, 437.25]","[7.54167, 11.65, 6.70833, 7.11667, 8.08333, 7.125, 6.275, 5.98333, 7.54167, 6.725, 8.6, 11.56667]","[95, 998, 586, 464, 1005, 1669, 31, 4567, 647, 1257, 55, 144]","[0.03787, 0.08091, 0.0607, 0.06127, 0.06146, 0.04495, 0.02145, 0.08957, 0.05807, 0.03113, 0.01503, 0.03789]","['(38.111733, -79.6502105)', '(38.63013309999999, -78.52065)', '(38.3120359, -78.4524591)', '(37.7478599, -78.8835548)', '(37.5588285, -79.1096901)', '(38.2004562, -79.24511489999999)', '(38.3999743, -79.60528839999999)', '(38.0567092, -78.6114999)', '(37.8062214, -79.5153773)', '(38.5825919, -78.8835548)', '(38.74517669999999, -79.29021329999999)', '(38.3101706, -80.0087746)']",12,False,False,False,False
