,Year,Average (Monthly) Percent Unemployed,county,state
9406,2014,5.875,Davie County,NC
9407,2015,5.025,Davie County,NC
9408,2010,7.975,Gates County,NC
9409,2011,8.208333333,Gates County,NC
9410,2012,7.666666667,Gates County,NC
9411,2013,6.958333333,Gates County,NC
9412,2014,5.933333333,Gates County,NC
9413,2015,5.483333333,Gates County,NC
9414,2010,11.20833333,Jones County,NC
9415,2011,10.625,Jones County,NC
9416,2012,9.916666667,Jones County,NC
9417,2013,8.416666667,Jones County,NC
9418,2014,6.65,Jones County,NC
9419,2015,5.75,Jones County,NC
9420,2010,11.55833333,Macon County,NC
9421,2011,11.35833333,Macon County,NC
9422,2012,10.64166667,Macon County,NC
9423,2013,9.125,Macon County,NC
9424,2014,6.625,Macon County,NC
9425,2015,6.166666667,Macon County,NC
9426,2010,10.125,Moore County,NC
9427,2011,9.558333333,Moore County,NC
9428,2012,8.791666667,Moore County,NC
9429,2013,7.758333333,Moore County,NC
9430,2014,6.133333333,Moore County,NC
9431,2015,5.791666667,Moore County,NC
9432,2010,14.05833333,Rowan County,NC
9433,2011,12.45,Rowan County,NC
9434,2012,10.875,Rowan County,NC
9435,2013,9.283333333,Rowan County,NC
9436,2014,7.066666667,Rowan County,NC
9437,2015,6.091666667,Rowan County,NC
9438,2010,12,Surry County,NC
9439,2011,10.80833333,Surry County,NC
9440,2012,9.633333333,Surry County,NC
9441,2013,8.333333333,Surry County,NC
9442,2014,6.158333333,Surry County,NC
9443,2015,5.416666667,Surry County,NC
9444,2010,14.8,Swain County,NC
9445,2011,15.7,Swain County,NC
9446,2012,14.79166667,Swain County,NC
9447,2013,12.4,Swain County,NC
9448,2014,9.083333333,Swain County,NC
9449,2015,7.741666667,Swain County,NC
9450,2010,10.03333333,Union County,NC
9451,2011,9.125,Union County,NC
9452,2012,7.841666667,Union County,NC
9453,2013,6.575,Union County,NC
9454,2014,5.258333333,Union County,NC
9455,2015,4.841666667,Union County,NC
9456,2010,14.125,Vance County,NC
9457,2011,14.9,Vance County,NC
9458,2012,13.51666667,Vance County,NC
9459,2013,11.48333333,Vance County,NC
9460,2014,9.325,Vance County,NC
9461,2015,8.55,Vance County,NC
9462,2010,9.15,Wayne County,NC
9463,2011,9.033333333,Wayne County,NC
9464,2012,8.466666667,Wayne County,NC
9465,2013,7.766666667,Wayne County,NC
9466,2014,6.408333333,Wayne County,NC
9467,2015,6.066666667,Wayne County,NC
9468,2010,11.76666667,Bertie County,NC
9469,2011,12.05833333,Bertie County,NC
9470,2012,11.40833333,Bertie County,NC
9471,2013,10.06666667,Bertie County,NC
9472,2014,7.916666667,Bertie County,NC
9473,2015,7.241666667,Bertie County,NC
9474,2010,13.33333333,Bladen County,NC
9475,2011,13.4,Bladen County,NC
9476,2012,12.7,Bladen County,NC
9477,2013,11.54166667,Bladen County,NC
9478,2014,9.408333333,Bladen County,NC
9479,2015,7.958333333,Bladen County,NC
9480,2010,8.375,Camden County,NC
9481,2011,8.541666667,Camden County,NC
9482,2012,7.841666667,Camden County,NC
9483,2013,7.125,Camden County,NC
9484,2014,6.108333333,Camden County,NC
9485,2015,5.741666667,Camden County,NC
9486,2010,11.99166667,Chowan County,NC
9487,2011,12.15,Chowan County,NC
9488,2012,10.89166667,Chowan County,NC
9489,2013,9.825,Chowan County,NC
9490,2014,7.916666667,Chowan County,NC
9491,2015,7.141666667,Chowan County,NC
9492,2010,10.73333333,Craven County,NC
9493,2011,10.56666667,Craven County,NC
9494,2012,9.491666667,Craven County,NC
9495,2013,8.683333333,Craven County,NC
9496,2014,6.908333333,Craven County,NC
9497,2015,6.058333333,Craven County,NC
9498,2010,9.283333333,Duplin County,NC
9499,2011,9.475,Duplin County,NC
9500,2012,9.133333333,Duplin County,NC
9501,2013,7.991666667,Duplin County,NC
9502,2014,6.4,Duplin County,NC
9503,2015,5.733333333,Duplin County,NC
9504,2010,8.241666667,Durham County,NC
9505,2011,8.091666667,Durham County,NC
9506,2012,7.408333333,Durham County,NC
9507,2013,6.266666667,Durham County,NC
9508,2014,5.116666667,Durham County,NC
9509,2015,5.025,Durham County,NC
9510,2010,13.5,Gaston County,NC
9511,2011,11.85,Gaston County,NC
9512,2012,10.43333333,Gaston County,NC
9513,2013,8.95,Gaston County,NC
9514,2014,6.808333333,Gaston County,NC
9515,2015,6.008333333,Gaston County,NC
9516,2010,17.68333333,Graham County,NC
9517,2011,18.08333333,Graham County,NC
9518,2012,17.75,Graham County,NC
9519,2013,15.225,Graham County,NC
9520,2014,13.38333333,Graham County,NC
9521,2015,12.025,Graham County,NC
9522,2010,10.125,Greene County,NC
9523,2011,9.616666667,Greene County,NC
9524,2012,8.6,Greene County,NC
9525,2013,7.883333333,Greene County,NC
9526,2014,6.25,Greene County,NC
9527,2015,5.541666667,Greene County,NC
9528,2010,11.85,Lenoir County,NC
9529,2011,10.90833333,Lenoir County,NC
9530,2012,9.816666667,Lenoir County,NC
9531,2013,8.691666667,Lenoir County,NC
9532,2014,7.158333333,Lenoir County,NC
9533,2015,6.35,Lenoir County,NC
9534,2010,12.74166667,Martin County,NC
9535,2011,12.43333333,Martin County,NC
9536,2012,12,Martin County,NC
9537,2013,10.45833333,Martin County,NC
9538,2014,7.816666667,Martin County,NC
9539,2015,7.675,Martin County,NC
9540,2010,8.275,Onslow County,NC
9541,2011,8.283333333,Onslow County,NC
9542,2012,8,Onslow County,NC
9543,2013,7.033333333,Onslow County,NC
9544,2014,6.083333333,Onslow County,NC
9545,2015,5.891666667,Onslow County,NC
9546,2010,6.608333333,Orange County,NC
9547,2011,6.541666667,Orange County,NC
9548,2012,6.108333333,Orange County,NC
9549,2013,5.325,Orange County,NC
9550,2014,4.641666667,Orange County,NC
9551,2015,4.633333333,Orange County,NC
9552,2010,11.44166667,Pender County,NC
9553,2011,11.33333333,Pender County,NC
9554,2012,10.425,Pender County,NC
9555,2013,9.05,Pender County,NC
9556,2014,7.1,Pender County,NC
9557,2015,6.091666667,Pender County,NC
9558,2010,12.4,Person County,NC
9559,2011,11.925,Person County,NC
9560,2012,11.025,Person County,NC
9561,2013,10.09166667,Person County,NC
9562,2014,7.766666667,Person County,NC
9563,2015,6.791666667,Person County,NC
9564,2010,13.18333333,Stanly County,NC
9565,2011,11.75,Stanly County,NC
9566,2012,9.941666667,Stanly County,NC
9567,2013,8.158333333,Stanly County,NC
9568,2014,6.058333333,Stanly County,NC
9569,2015,5.316666667,Stanly County,NC
9570,2010,11.39166667,Stokes County,NC
9571,2011,10.4,Stokes County,NC
9572,2012,9.3,Stokes County,NC
9573,2013,7.85,Stokes County,NC
9574,2014,6.075,Stokes County,NC
9575,2015,5.433333333,Stokes County,NC
9576,2010,13.71666667,Warren County,NC
9577,2011,13.95833333,Warren County,NC
9578,2012,12.45833333,Warren County,NC
9579,2013,10.95,Warren County,NC
9580,2014,8.891666667,Warren County,NC
9581,2015,8.283333333,Warren County,NC
9582,2010,13.43333333,Wilkes County,NC
9583,2011,11.76666667,Wilkes County,NC
9584,2012,10.39166667,Wilkes County,NC
9585,2013,8.933333333,Wilkes County,NC
9586,2014,6.608333333,Wilkes County,NC
9587,2015,5.675,Wilkes County,NC
9588,2010,13.9,Wilson County,NC
9589,2011,13.91666667,Wilson County,NC
9590,2012,12.99166667,Wilson County,NC
9591,2013,11.73333333,Wilson County,NC
9592,2014,9.491666667,Wilson County,NC
9593,2015,9.508333333,Wilson County,NC
9594,2010,10.96666667,Yadkin County,NC
9595,2011,10.3,Yadkin County,NC
9596,2012,9.175,Yadkin County,NC
9597,2013,7.716666667,Yadkin County,NC
9598,2014,5.675,Yadkin County,NC
9599,2015,5,Yadkin County,NC
9600,2010,11.875,Yancey County,NC
9601,2011,11.34166667,Yancey County,NC
9602,2012,10.7,Yancey County,NC
9603,2013,9.5,Yancey County,NC
9604,2014,6.766666667,Yancey County,NC
9605,2015,5.891666667,Yancey County,NC
9606,2010,13.21666667,Caswell County,NC
9607,2011,11.775,Caswell County,NC
9608,2012,10.65833333,Caswell County,NC
9609,2013,8.983333333,Caswell County,NC
9610,2014,7.225,Caswell County,NC
9611,2015,6.3,Caswell County,NC
9612,2010,13.05,Catawba County,NC
9613,2011,11.66666667,Catawba County,NC
9614,2012,10.14166667,Catawba County,NC
9615,2013,8.483333333,Catawba County,NC
9616,2014,6.341666667,Catawba County,NC
9617,2015,5.508333333,Catawba County,NC
9618,2010,8.558333333,Chatham County,NC
9619,2011,8.1,Chatham County,NC
9620,2012,7.85,Chatham County,NC
9621,2013,6.291666667,Chatham County,NC
9622,2014,4.9,Chatham County,NC
9623,2015,4.741666667,Chatham County,NC
9624,2010,10.14166667,Forsyth County,NC
9625,2011,9.825,Forsyth County,NC
9626,2012,8.85,Forsyth County,NC
9627,2013,7.541666667,Forsyth County,NC
9628,2014,6.016666667,Forsyth County,NC
9629,2015,5.508333333,Forsyth County,NC
9630,2010,14.725,Halifax County,NC
9631,2011,14.59166667,Halifax County,NC
9632,2012,13.54166667,Halifax County,NC
9633,2013,11.79166667,Halifax County,NC
9634,2014,9.683333333,Halifax County,NC
9635,2015,8.816666667,Halifax County,NC
9636,2010,11.34166667,Harnett County,NC
9637,2011,11.36666667,Harnett County,NC
9638,2012,10.60833333,Harnett County,NC
9639,2013,9.258333333,Harnett County,NC
9640,2014,7.383333333,Harnett County,NC
9641,2015,6.7,Harnett County,NC
9642,2010,10.29166667,Haywood County,NC
9643,2011,10.09166667,Haywood County,NC
9644,2012,9.116666667,Haywood County,NC
9645,2013,7.808333333,Haywood County,NC
9646,2014,5.841666667,Haywood County,NC
9647,2015,5.25,Haywood County,NC
9648,2010,12.89166667,Iredell County,NC
9649,2011,11.39166667,Iredell County,NC
9650,2012,9.933333333,Iredell County,NC
9651,2013,8.375,Iredell County,NC
9652,2014,6.316666667,Iredell County,NC
9653,2015,5.491666667,Iredell County,NC
9654,2010,10.95,Jackson County,NC
9655,2011,11.14166667,Jackson County,NC
9656,2012,10.60833333,Jackson County,NC
9657,2013,8.791666667,Jackson County,NC
9658,2014,6.7,Jackson County,NC
9659,2015,6.108333333,Jackson County,NC
9660,2010,12.74166667,Lincoln County,NC
9661,2011,11.19166667,Lincoln County,NC
9662,2012,9.6,Lincoln County,NC
9663,2013,8.241666667,Lincoln County,NC
9664,2014,6.166666667,Lincoln County,NC
9665,2015,5.441666667,Lincoln County,NC
9666,2010,10.375,Madison County,NC
9667,2011,10.275,Madison County,NC
9668,2012,9.766666667,Madison County,NC
9669,2013,8.158333333,Madison County,NC
9670,2014,6.241666667,Madison County,NC
9671,2015,5.683333333,Madison County,NC
9672,2010,10.19166667,Pamlico County,NC
9673,2011,9.716666667,Pamlico County,NC
9674,2012,9.008333333,Pamlico County,NC
9675,2013,8.383333333,Pamlico County,NC
9676,2014,6.633333333,Pamlico County,NC
9677,2015,5.966666667,Pamlico County,NC
9678,2010,13.69166667,Robeson County,NC
9679,2011,14.23333333,Robeson County,NC
9680,2012,13.25,Robeson County,NC
9681,2013,11.85833333,Robeson County,NC
9682,2014,9.475,Robeson County,NC
9683,2015,8.475,Robeson County,NC
9684,2010,9.666666667,Sampson County,NC
9685,2011,9.75,Sampson County,NC
9686,2012,9.316666667,Sampson County,NC
9687,2013,8.083333333,Sampson County,NC
9688,2014,6.475,Sampson County,NC
9689,2015,5.925,Sampson County,NC
9690,2010,15.075,Tyrrell County,NC
9691,2011,15.225,Tyrrell County,NC
9692,2012,14.025,Tyrrell County,NC
9693,2013,13.225,Tyrrell County,NC
9694,2014,10.23333333,Tyrrell County,NC
9695,2015,9.633333333,Tyrrell County,NC
9696,2010,7.85,Watauga County,NC
9697,2011,7.875,Watauga County,NC
9698,2012,7.391666667,Watauga County,NC
9699,2013,6.383333333,Watauga County,NC
9700,2014,5.191666667,Watauga County,NC
9701,2015,4.841666667,Watauga County,NC
9702,2010,10.86666667,Alamance County,NC
9703,2011,9.658333333,Alamance County,NC
9704,2012,8.533333333,Alamance County,NC
9705,2013,7.25,Alamance County,NC
9706,2014,5.675,Alamance County,NC
9707,2015,5.383333333,Alamance County,NC
9708,2010,11.70833333,Beaufort County,NC
9709,2011,11.13333333,Beaufort County,NC
9710,2012,10.56666667,Beaufort County,NC
9711,2013,9.491666667,Beaufort County,NC
9712,2014,7.358333333,Beaufort County,NC
9713,2015,6.591666667,Beaufort County,NC
9714,2010,8.566666667,Buncombe County,NC
9715,2011,7.925,Buncombe County,NC
9716,2012,7.25,Buncombe County,NC
9717,2013,5.983333333,Buncombe County,NC
9718,2014,4.7,Buncombe County,NC
9719,2015,4.366666667,Buncombe County,NC
9720,2010,11.55,Cabarrus County,NC
9721,2011,10.4,Cabarrus County,NC
9722,2012,9.008333333,Cabarrus County,NC
9723,2013,7.608333333,Cabarrus County,NC
9724,2014,5.833333333,Cabarrus County,NC
9725,2015,5.191666667,Cabarrus County,NC
9726,2010,14.81666667,Caldwell County,NC
9727,2011,13.25,Caldwell County,NC
9728,2012,11.60833333,Caldwell County,NC
9729,2013,9.558333333,Caldwell County,NC
9730,2014,7.266666667,Caldwell County,NC
9731,2015,6.266666667,Caldwell County,NC
9732,2010,9.6,Carteret County,NC
9733,2011,9.716666667,Carteret County,NC
9734,2012,8.95,Carteret County,NC
9735,2013,7.816666667,Carteret County,NC
9736,2014,6.225,Carteret County,NC
9737,2015,5.916666667,Carteret County,NC
9738,2010,12.90833333,Cherokee County,NC
9739,2011,11.85,Cherokee County,NC
9740,2012,10.95,Cherokee County,NC
9741,2013,9.2,Cherokee County,NC
9742,2014,7.108333333,Cherokee County,NC
9743,2015,6.433333333,Cherokee County,NC
9744,2010,13.41666667,Columbus County,NC
9745,2011,13.38333333,Columbus County,NC
9746,2012,12.25,Columbus County,NC
9747,2013,10.28333333,Columbus County,NC
9748,2014,8.525,Columbus County,NC
9749,2015,7.533333333,Columbus County,NC
9750,2010,12.3,Davidson County,NC
9751,2011,11.01666667,Davidson County,NC
9752,2012,9.7,Davidson County,NC
9753,2013,8.2,Davidson County,NC
9754,2014,6.325,Davidson County,NC
9755,2015,5.55,Davidson County,NC
9756,2010,10.89166667,Franklin County,NC
9757,2011,10.65,Franklin County,NC
9758,2012,9.691666667,Franklin County,NC
9759,2013,8.283333333,Franklin County,NC
9760,2014,6.516666667,Franklin County,NC
9761,2015,5.916666667,Franklin County,NC
9762,2010,11.09166667,Guilford County,NC
9763,2011,10.46666667,Guilford County,NC
9764,2012,9.55,Guilford County,NC
9765,2013,8.208333333,Guilford County,NC
9766,2014,6.566666667,Guilford County,NC
9767,2015,5.875,Guilford County,NC
9768,2010,10.60833333,Hertford County,NC
9769,2011,11.35833333,Hertford County,NC
9770,2012,10.76666667,Hertford County,NC
9771,2013,9.383333333,Hertford County,NC
9772,2014,7.416666667,Hertford County,NC
9773,2015,7.058333333,Hertford County,NC
9774,2010,9.933333333,Johnston County,NC
9775,2011,9.5,Johnston County,NC
9776,2012,8.425,Johnston County,NC
9777,2013,7.091666667,Johnston County,NC
9778,2014,5.691666667,Johnston County,NC
9779,2015,5.216666667,Johnston County,NC
9780,2010,13.31666667,McDowell County,NC
9781,2011,12.36666667,McDowell County,NC
9782,2012,10.83333333,McDowell County,NC
9783,2013,8.958333333,McDowell County,NC
9784,2014,6.458333333,McDowell County,NC
9785,2015,5.508333333,McDowell County,NC
9786,2010,12.39166667,Mitchell County,NC
9787,2011,11.86666667,Mitchell County,NC
9788,2012,12.225,Mitchell County,NC
9789,2013,10.99166667,Mitchell County,NC
9790,2014,7.741666667,Mitchell County,NC
9791,2015,6.833333333,Mitchell County,NC
9792,2010,11.98333333,Randolph County,NC
9793,2011,10.94166667,Randolph County,NC
9794,2012,9.941666667,Randolph County,NC
9795,2013,8.625,Randolph County,NC
9796,2014,6.558333333,Randolph County,NC
9797,2015,5.708333333,Randolph County,NC
9798,2010,14.86666667,Richmond County,NC
9799,2011,14.6,Richmond County,NC
9800,2012,13.38333333,Richmond County,NC
9801,2013,11.73333333,Richmond County,NC
9802,2014,8.966666667,Richmond County,NC
9803,2015,7.916666667,Richmond County,NC
9804,2010,17.625,Scotland County,NC
9805,2011,18.03333333,Scotland County,NC
9806,2012,17.15,Scotland County,NC
9807,2013,15.06666667,Scotland County,NC
9808,2014,11.95833333,Scotland County,NC
9809,2015,10.6,Scotland County,NC
9810,2010,13.04166667,Alexander County,NC
9811,2011,11.275,Alexander County,NC
9812,2012,9.575,Alexander County,NC
9813,2013,7.766666667,Alexander County,NC
9814,2014,5.633333333,Alexander County,NC
9815,2015,4.925,Alexander County,NC
9816,2010,12.01666667,Alleghany County,NC
9817,2011,12.25833333,Alleghany County,NC
9818,2012,10.45,Alleghany County,NC
9819,2013,8.783333333,Alleghany County,NC
9820,2014,6.866666667,Alleghany County,NC
9821,2015,6.141666667,Alleghany County,NC
9822,2010,12.56666667,Brunswick County,NC
9823,2011,12.24166667,Brunswick County,NC
9824,2012,11.25,Brunswick County,NC
9825,2013,9.808333333,Brunswick County,NC
9826,2014,7.933333333,Brunswick County,NC
9827,2015,7.3,Brunswick County,NC
9828,2010,14.775,Cleveland County,NC
9829,2011,12.36666667,Cleveland County,NC
9830,2012,11.05,Cleveland County,NC
9831,2013,9.491666667,Cleveland County,NC
9832,2014,7.3,Cleveland County,NC
9833,2015,6.383333333,Cleveland County,NC
9834,2010,8.9,Currituck County,NC
9835,2011,9.05,Currituck County,NC
9836,2012,8.55,Currituck County,NC
9837,2013,7.833333333,Currituck County,NC
9838,2014,6.316666667,Currituck County,NC
9839,2015,5.8,Currituck County,NC
9840,2010,15.75833333,Edgecombe County,NC
9841,2011,15.53333333,Edgecombe County,NC
9842,2012,14.33333333,Edgecombe County,NC
9843,2013,12.99166667,Edgecombe County,NC
9844,2014,10.31666667,Edgecombe County,NC
9845,2015,9.575,Edgecombe County,NC
9846,2010,9.741666667,Granville County,NC
9847,2011,8.916666667,Granville County,NC
9848,2012,8,Granville County,NC
9849,2013,6.858333333,Granville County,NC
9850,2014,5.433333333,Granville County,NC
9851,2015,4.941666667,Granville County,NC
9852,2010,9.125,Henderson County,NC
9853,2011,8.483333333,Henderson County,NC
9854,2012,7.483333333,Henderson County,NC
9855,2013,6.216666667,Henderson County,NC
9856,2014,5.066666667,Henderson County,NC
9857,2015,4.75,Henderson County,NC
9858,2010,10.11666667,Cumberland County,NC
9859,2011,10.50833333,Cumberland County,NC
9860,2012,10.49166667,Cumberland County,NC
9861,2013,9.658333333,Cumberland County,NC
9862,2014,8.083333333,Cumberland County,NC
9863,2015,7.3,Cumberland County,NC
9864,2010,12.34166667,Montgomery County,NC
9865,2011,11.79166667,Montgomery County,NC
9866,2012,10.6,Montgomery County,NC
9867,2013,8.3,Montgomery County,NC
9868,2014,6.375,Montgomery County,NC
9869,2015,5.683333333,Montgomery County,NC
9870,2010,9.941666667,Pasquotank County,NC
9871,2011,10.31666667,Pasquotank County,NC
9872,2012,10.05,Pasquotank County,NC
9873,2013,9.616666667,Pasquotank County,NC
9874,2014,8.066666667,Pasquotank County,NC
9875,2015,7.241666667,Pasquotank County,NC
9876,2010,10.65833333,Perquimans County,NC
9877,2011,10.96666667,Perquimans County,NC
9878,2012,10.425,Perquimans County,NC
9879,2013,9.575,Perquimans County,NC
9880,2014,7.808333333,Perquimans County,NC
9881,2015,7.116666667,Perquimans County,NC
9882,2010,13.225,Rockingham County,NC
9883,2011,12.275,Rockingham County,NC
9884,2012,11.25,Rockingham County,NC
9885,2013,9.658333333,Rockingham County,NC
9886,2014,7.508333333,Rockingham County,NC
9887,2015,6.608333333,Rockingham County,NC
9888,2010,16.71666667,Rutherford County,NC
9889,2011,14.55833333,Rutherford County,NC
9890,2012,13.2,Rutherford County,NC
9891,2013,11.15833333,Rutherford County,NC
9892,2014,8.558333333,Rutherford County,NC
9893,2015,7.758333333,Rutherford County,NC
9894,2010,14.28333333,Washington County,NC
9895,2011,16.88333333,Washington County,NC
9896,2012,15.35,Washington County,NC
9897,2013,12.45833333,Washington County,NC
9898,2014,9.65,Washington County,NC
9899,2015,8.666666667,Washington County,NC
9900,2010,10.65,Mecklenburg County,NC
9901,2011,9.916666667,Mecklenburg County,NC
9902,2012,8.75,Mecklenburg County,NC
9903,2013,7.516666667,Mecklenburg County,NC
9904,2014,5.991666667,Mecklenburg County,NC
9905,2015,5.375,Mecklenburg County,NC
9906,2010,9.708333333,New Hanover County,NC
9907,2011,9.558333333,New Hanover County,NC
9908,2012,8.65,New Hanover County,NC
9909,2013,7.558333333,New Hanover County,NC
9910,2014,5.95,New Hanover County,NC
9911,2015,5.358333333,New Hanover County,NC
9912,2010,11.65,Northampton County,NC
9913,2011,12.23333333,Northampton County,NC
9914,2012,11.46666667,Northampton County,NC
9915,2013,9.983333333,Northampton County,NC
9916,2014,8.066666667,Northampton County,NC
9917,2015,7.55,Northampton County,NC
9918,2010,9.791666667,Transylvania County,NC
9919,2011,9.425,Transylvania County,NC
9920,2012,8.7,Transylvania County,NC
9921,2013,7.408333333,Transylvania County,NC
9922,2014,5.866666667,Transylvania County,NC
9923,2015,5.425,Transylvania County,NC
9924,2010,3.533333333,Cass County,ND
9925,2011,3.275,Cass County,ND
9926,2012,2.95,Cass County,ND
9927,2013,2.758333333,Cass County,ND
9928,2014,2.416666667,Cass County,ND
9929,2015,2.258333333,Cass County,ND
9930,2010,3.233333333,Dunn County,ND
9931,2011,2.133333333,Dunn County,ND
9932,2012,1.558333333,Dunn County,ND
9933,2013,1.425,Dunn County,ND
9934,2014,1.258333333,Dunn County,ND
9935,2015,1.975,Dunn County,ND
9936,2010,4.841666667,Eddy County,ND
9937,2011,4.908333333,Eddy County,ND
9938,2012,5.1,Eddy County,ND
9939,2013,5.983333333,Eddy County,ND
9940,2014,5.541666667,Eddy County,ND
9941,2015,4.783333333,Eddy County,ND
9942,2010,3.475,Ward County,ND
9943,2011,3.2,Ward County,ND
9944,2012,2.65,Ward County,ND
9945,2013,2.725,Ward County,ND
9946,2014,2.633333333,Ward County,ND
9947,2015,3.191666667,Ward County,ND
9948,2010,2.925,Adams County,ND
9949,2011,2.8,Adams County,ND
9950,2012,2.858333333,Adams County,ND
9951,2013,2.508333333,Adams County,ND
9952,2014,2.683333333,Adams County,ND
9953,2015,2.925,Adams County,ND
9954,2010,2.791666667,Burke County,ND
9955,2011,2.325,Burke County,ND
9956,2012,1.983333333,Burke County,ND
9957,2013,2.208333333,Burke County,ND
9958,2014,2.55,Burke County,ND
9959,2015,3.325,Burke County,ND
9960,2010,3.725,Grant County,ND
9961,2011,3.541666667,Grant County,ND
9962,2012,3.141666667,Grant County,ND
9963,2013,2.941666667,Grant County,ND
9964,2014,2.791666667,Grant County,ND
9965,2015,3.158333333,Grant County,ND
9966,2010,3.6,Logan County,ND
9967,2011,3.058333333,Logan County,ND
9968,2012,3.05,Logan County,ND
9969,2013,3.05,Logan County,ND
9970,2014,2.95,Logan County,ND
9971,2015,2.825,Logan County,ND
9972,2010,5.083333333,Sioux County,ND
9973,2011,5.408333333,Sioux County,ND
9974,2012,5.166666667,Sioux County,ND
9975,2013,4.625,Sioux County,ND
9976,2014,4.666666667,Sioux County,ND
9977,2015,4.375,Sioux County,ND
9978,2010,2.241666667,Slope County,ND
9979,2011,2.066666667,Slope County,ND
9980,2012,2.1,Slope County,ND
9981,2013,2.091666667,Slope County,ND
9982,2014,2.041666667,Slope County,ND
9983,2015,2.533333333,Slope County,ND
9984,2010,2.808333333,Stark County,ND
9985,2011,2.208333333,Stark County,ND
9986,2012,1.833333333,Stark County,ND
9987,2013,1.691666667,Stark County,ND
9988,2014,1.633333333,Stark County,ND
9989,2015,2.716666667,Stark County,ND
9990,2010,5.116666667,Walsh County,ND
9991,2011,5.008333333,Walsh County,ND
9992,2012,4.883333333,Walsh County,ND
9993,2013,4.933333333,Walsh County,ND
9994,2014,4.6,Walsh County,ND
9995,2015,4.166666667,Walsh County,ND
9996,2010,4.033333333,Wells County,ND
9997,2011,4.375,Wells County,ND
9998,2012,3.983333333,Wells County,ND
9999,2013,4.325,Wells County,ND
10000,2014,4.366666667,Wells County,ND
10001,2015,3.991666667,Wells County,ND
10002,2010,4.458333333,Barnes County,ND
10003,2011,3.933333333,Barnes County,ND
10004,2012,3.425,Barnes County,ND
10005,2013,3.191666667,Barnes County,ND
10006,2014,3.075,Barnes County,ND
10007,2015,3.2,Barnes County,ND
10008,2010,5.425,Benson County,ND
10009,2011,6.091666667,Benson County,ND
10010,2012,6.966666667,Benson County,ND
10011,2013,7.6,Benson County,ND
10012,2014,6.483333333,Benson County,ND
10013,2015,4.591666667,Benson County,ND
10014,2010,2.575,Bowman County,ND
10015,2011,2.183333333,Bowman County,ND
10016,2012,1.85,Bowman County,ND
10017,2013,1.983333333,Bowman County,ND
10018,2014,1.775,Bowman County,ND
10019,2015,1.866666667,Bowman County,ND
10020,2010,3.241666667,Dickey County,ND
10021,2011,2.933333333,Dickey County,ND
10022,2012,2.741666667,Dickey County,ND
10023,2013,2.333333333,Dickey County,ND
10024,2014,2.025,Dickey County,ND
10025,2015,1.841666667,Dickey County,ND
10026,2010,2.075,Divide County,ND
10027,2011,1.791666667,Divide County,ND
10028,2012,1.55,Divide County,ND
10029,2013,1.408333333,Divide County,ND
10030,2014,1.466666667,Divide County,ND
10031,2015,1.825,Divide County,ND
10032,2010,6.883333333,Emmons County,ND
10033,2011,6.041666667,Emmons County,ND
10034,2012,5.375,Emmons County,ND
10035,2013,5.325,Emmons County,ND
10036,2014,5.55,Emmons County,ND
10037,2015,4.95,Emmons County,ND
10038,2010,3.475,Foster County,ND
10039,2011,3.191666667,Foster County,ND
10040,2012,3.108333333,Foster County,ND
10041,2013,3.425,Foster County,ND
10042,2014,3.016666667,Foster County,ND
10043,2015,2.908333333,Foster County,ND
10044,2010,2.941666667,Griggs County,ND
10045,2011,2.975,Griggs County,ND
10046,2012,2.691666667,Griggs County,ND
10047,2013,2.358333333,Griggs County,ND
10048,2014,2.358333333,Griggs County,ND
10049,2015,2.333333333,Griggs County,ND
10050,2010,5.308333333,Kidder County,ND
10051,2011,5.233333333,Kidder County,ND
10052,2012,5.133333333,Kidder County,ND
10053,2013,4.7,Kidder County,ND
10054,2014,3.891666667,Kidder County,ND
10055,2015,3.691666667,Kidder County,ND
10056,2010,5.075,McLean County,ND
10057,2011,4.725,McLean County,ND
10058,2012,4.425,McLean County,ND
10059,2013,4.208333333,McLean County,ND
10060,2014,3.983333333,McLean County,ND
10061,2015,3.75,McLean County,ND
10062,2010,5.275,Mercer County,ND
10063,2011,5.408333333,Mercer County,ND
10064,2012,5.35,Mercer County,ND
10065,2013,4.658333333,Mercer County,ND
10066,2014,3.958333333,Mercer County,ND
10067,2015,4.216666667,Mercer County,ND
10068,2010,4.566666667,Morton County,ND
10069,2011,4.016666667,Morton County,ND
10070,2012,3.583333333,Morton County,ND
10071,2013,3.308333333,Morton County,ND
10072,2014,3.266666667,Morton County,ND
10073,2015,3.091666667,Morton County,ND
10074,2010,4.05,Nelson County,ND
10075,2011,4.35,Nelson County,ND
10076,2012,4.166666667,Nelson County,ND
10077,2013,4.333333333,Nelson County,ND
10078,2014,3.733333333,Nelson County,ND
10079,2015,3.725,Nelson County,ND
10080,2010,5.766666667,Oliver County,ND
10081,2011,6.116666667,Oliver County,ND
10082,2012,6.691666667,Oliver County,ND
10083,2013,6.075,Oliver County,ND
10084,2014,6.333333333,Oliver County,ND
10085,2015,5.908333333,Oliver County,ND
10086,2010,5.316666667,Pierce County,ND
10087,2011,4.8,Pierce County,ND
10088,2012,4.3,Pierce County,ND
10089,2013,4.216666667,Pierce County,ND
10090,2014,4.216666667,Pierce County,ND
10091,2015,4.208333333,Pierce County,ND
10092,2010,3.816666667,Ramsey County,ND
10093,2011,3.833333333,Ramsey County,ND
10094,2012,4.141666667,Ramsey County,ND
