,Year,Average Total Employment,county,state
15265,2011,594040,Travis County,TX
15266,2012,612264.4167,Travis County,TX
15267,2013,629918.75,Travis County,TX
15268,2014,644428,Travis County,TX
15269,2015,655166.25,Travis County,TX
15270,2010,18283.08333,Upshur County,TX
15271,2011,18614.66667,Upshur County,TX
15272,2012,18726.66667,Upshur County,TX
15273,2013,18538.33333,Upshur County,TX
15274,2014,18577.66667,Upshur County,TX
15275,2015,17960.66667,Upshur County,TX
15276,2010,11825.33333,Uvalde County,TX
15277,2011,12143.91667,Uvalde County,TX
15278,2012,11951.91667,Uvalde County,TX
15279,2013,11948.91667,Uvalde County,TX
15280,2014,11685.66667,Uvalde County,TX
15281,2015,11670.83333,Uvalde County,TX
15282,2010,23233.75,Walker County,TX
15283,2011,23170.66667,Walker County,TX
15284,2012,23152.75,Walker County,TX
15285,2013,23122.91667,Walker County,TX
15286,2014,23156.5,Walker County,TX
15287,2015,22958.41667,Walker County,TX
15288,2010,19960.58333,Waller County,TX
15289,2011,20344,Waller County,TX
15290,2012,20498.83333,Waller County,TX
15291,2013,20839.08333,Waller County,TX
15292,2014,21319.41667,Waller County,TX
15293,2015,21642.91667,Waller County,TX
15294,2010,21234.91667,Wilson County,TX
15295,2011,21547.83333,Wilson County,TX
15296,2012,21732.08333,Wilson County,TX
15297,2013,22212.91667,Wilson County,TX
15298,2014,22548.75,Wilson County,TX
15299,2015,22954.75,Wilson County,TX
15300,2010,3690,Yoakum County,TX
15301,2011,4165.5,Yoakum County,TX
15302,2012,4335.583333,Yoakum County,TX
15303,2013,4213.25,Yoakum County,TX
15304,2014,4293.833333,Yoakum County,TX
15305,2015,4042.666667,Yoakum County,TX
15306,2010,5761,Zapata County,TX
15307,2011,6466.583333,Zapata County,TX
15308,2012,6818.833333,Zapata County,TX
15309,2013,7063.916667,Zapata County,TX
15310,2014,6939,Zapata County,TX
15311,2015,6185.583333,Zapata County,TX
15312,2010,4556.583333,Zavala County,TX
15313,2011,4589.416667,Zavala County,TX
15314,2012,4390.166667,Zavala County,TX
15315,2013,4011.25,Zavala County,TX
15316,2014,3897.666667,Zavala County,TX
15317,2015,3803.166667,Zavala County,TX
15318,2010,7120,Andrews County,TX
15319,2011,7793.833333,Andrews County,TX
15320,2012,8543.916667,Andrews County,TX
15321,2013,9172.666667,Andrews County,TX
15322,2014,9528.333333,Andrews County,TX
15323,2015,9292.916667,Andrews County,TX
15324,2010,9686.75,Aransas County,TX
15325,2011,9814.75,Aransas County,TX
15326,2012,9944,Aransas County,TX
15327,2013,10068.33333,Aransas County,TX
15328,2014,10200.75,Aransas County,TX
15329,2015,10051,Aransas County,TX
15330,2010,9175.583333,Bandera County,TX
15331,2011,9179.583333,Bandera County,TX
15332,2012,9128.166667,Bandera County,TX
15333,2013,9071.416667,Bandera County,TX
15334,2014,9125.583333,Bandera County,TX
15335,2015,9170.833333,Bandera County,TX
15336,2010,35289.25,Bastrop County,TX
15337,2011,35718.91667,Bastrop County,TX
15338,2012,35304,Bastrop County,TX
15339,2013,35909.58333,Bastrop County,TX
15340,2014,36713.16667,Bastrop County,TX
15341,2015,37507.41667,Bastrop County,TX
15342,2010,734,Briscoe County,TX
15343,2011,722.0833333,Briscoe County,TX
15344,2012,643.0833333,Briscoe County,TX
15345,2013,628.75,Briscoe County,TX
15346,2014,636.6666667,Briscoe County,TX
15347,2015,593.6666667,Briscoe County,TX
15348,2010,10181.75,Calhoun County,TX
15349,2011,10601.5,Calhoun County,TX
15350,2012,10422.58333,Calhoun County,TX
15351,2013,10843.91667,Calhoun County,TX
15352,2014,11089.5,Calhoun County,TX
15353,2015,11319.41667,Calhoun County,TX
15354,2010,162316.1667,Cameron County,TX
15355,2011,165822.5833,Cameron County,TX
15356,2012,166314.25,Cameron County,TX
15357,2013,167093,Cameron County,TX
15358,2014,166360.5,Cameron County,TX
15359,2015,162940.1667,Cameron County,TX
15360,2010,1523.75,Cochran County,TX
15361,2011,1497.5,Cochran County,TX
15362,2012,1446.416667,Cochran County,TX
15363,2013,1402.833333,Cochran County,TX
15364,2014,1398,Cochran County,TX
15365,2015,1315.833333,Cochran County,TX
15366,2010,3483.416667,Coleman County,TX
15367,2011,3399.916667,Coleman County,TX
15368,2012,3316.083333,Coleman County,TX
15369,2013,3157.333333,Coleman County,TX
15370,2014,3120.75,Coleman County,TX
15371,2015,3047.333333,Coleman County,TX
15372,2010,25337.91667,Coryell County,TX
15373,2011,25662.5,Coryell County,TX
15374,2012,25395.66667,Coryell County,TX
15375,2013,25221.5,Coryell County,TX
15376,2014,24722,Coryell County,TX
15377,2015,24483.83333,Coryell County,TX
15378,2010,870.5,Dickens County,TX
15379,2011,909.6666667,Dickens County,TX
15380,2012,833.5,Dickens County,TX
15381,2013,770.6666667,Dickens County,TX
15382,2014,744.5,Dickens County,TX
15383,2015,702.1666667,Dickens County,TX
15384,2010,1036.583333,Edwards County,TX
15385,2011,991.3333333,Edwards County,TX
15386,2012,926.6666667,Edwards County,TX
15387,2013,903.25,Edwards County,TX
15388,2014,866.9166667,Edwards County,TX
15389,2015,864.3333333,Edwards County,TX
15390,2010,340840.25,El Paso County,TX
15391,2011,346748.1667,El Paso County,TX
15392,2012,347512.5833,El Paso County,TX
15393,2013,347223.5833,El Paso County,TX
15394,2014,344510.4167,El Paso County,TX
15395,2015,341302.1667,El Paso County,TX
15396,2010,12029,Fayette County,TX
15397,2011,12510,Fayette County,TX
15398,2012,12524.75,Fayette County,TX
15399,2013,12660.91667,Fayette County,TX
15400,2014,13075,Fayette County,TX
15401,2015,12763.08333,Fayette County,TX
15402,2010,59489.41667,Grayson County,TX
15403,2011,60176.16667,Grayson County,TX
15404,2012,60023.16667,Grayson County,TX
15405,2013,60524.83333,Grayson County,TX
15406,2014,60353.16667,Grayson County,TX
15407,2015,59943.75,Grayson County,TX
15408,2010,2694.75,Hartley County,TX
15409,2011,2813.416667,Hartley County,TX
15410,2012,2902.833333,Hartley County,TX
15411,2013,2932.416667,Hartley County,TX
15412,2014,2901.416667,Hartley County,TX
15413,2015,3001.333333,Hartley County,TX
15414,2010,2993.916667,Haskell County,TX
15415,2011,3039.25,Haskell County,TX
15416,2012,2774.333333,Haskell County,TX
15417,2013,2712,Haskell County,TX
15418,2014,2694.25,Haskell County,TX
15419,2015,2580.166667,Haskell County,TX
15420,2010,318301.3333,Hidalgo County,TX
15421,2011,326442.75,Hidalgo County,TX
15422,2012,328095.75,Hidalgo County,TX
15423,2013,331246.0833,Hidalgo County,TX
15424,2014,332026.4167,Hidalgo County,TX
15425,2015,330599.8333,Hidalgo County,TX
15426,2010,11029.66667,Hockley County,TX
15427,2011,11360,Hockley County,TX
15428,2012,11790.58333,Hockley County,TX
15429,2013,11924.41667,Hockley County,TX
15430,2014,12090.41667,Hockley County,TX
15431,2015,11709.41667,Hockley County,TX
15432,2010,16623.83333,Hopkins County,TX
15433,2011,16863.08333,Hopkins County,TX
15434,2012,17086.75,Hopkins County,TX
15435,2013,17273.75,Hopkins County,TX
15436,2014,17491.41667,Hopkins County,TX
15437,2015,16998.75,Hopkins County,TX
15438,2010,10537.91667,Houston County,TX
15439,2011,10659.91667,Houston County,TX
15440,2012,10080.75,Houston County,TX
15441,2013,9852.25,Houston County,TX
15442,2014,9803.5,Houston County,TX
15443,2015,9929.083333,Houston County,TX
15444,2010,7130.583333,Jackson County,TX
15445,2011,7354.833333,Jackson County,TX
15446,2012,7438.083333,Jackson County,TX
15447,2013,7442.25,Jackson County,TX
15448,2014,7632,Jackson County,TX
15449,2015,7362.166667,Jackson County,TX
15450,2010,71940,Johnson County,TX
15451,2011,72762,Johnson County,TX
15452,2012,73166.25,Johnson County,TX
15453,2013,73688.66667,Johnson County,TX
15454,2014,74370.83333,Johnson County,TX
15455,2015,74228.16667,Johnson County,TX
15456,2010,50807,Kaufman County,TX
15457,2011,51525.58333,Kaufman County,TX
15458,2012,51625.16667,Kaufman County,TX
15459,2013,52450.25,Kaufman County,TX
15460,2014,53609,Kaufman County,TX
15461,2015,55016.41667,Kaufman County,TX
15462,2010,16411.5,Kendall County,TX
15463,2011,16921.75,Kendall County,TX
15464,2012,17475.83333,Kendall County,TX
15465,2013,18245.33333,Kendall County,TX
15466,2014,18681.08333,Kendall County,TX
15467,2015,19145.25,Kendall County,TX
15468,2010,15029.66667,Kleberg County,TX
15469,2011,15389.08333,Kleberg County,TX
15470,2012,15417.83333,Kleberg County,TX
15471,2013,15444.41667,Kleberg County,TX
15472,2014,15261.41667,Kleberg County,TX
15473,2015,14384.75,Kleberg County,TX
15474,2010,30613.25,Liberty County,TX
15475,2011,30784.33333,Liberty County,TX
15476,2012,30881.08333,Liberty County,TX
15477,2013,31027.08333,Liberty County,TX
15478,2014,30982.08333,Liberty County,TX
15479,2015,30920.5,Liberty County,TX
15480,2010,143338.9167,Lubbock County,TX
15481,2011,145819.1667,Lubbock County,TX
15482,2012,145628.25,Lubbock County,TX
15483,2013,147448.8333,Lubbock County,TX
15484,2014,147806.9167,Lubbock County,TX
15485,2015,149460.3333,Lubbock County,TX
15486,2010,4752.666667,Madison County,TX
15487,2011,4681.75,Madison County,TX
15488,2012,4653.166667,Madison County,TX
15489,2013,4820.416667,Madison County,TX
15490,2014,5025,Madison County,TX
15491,2015,5111.416667,Madison County,TX
15492,2010,71331.16667,Midland County,TX
15493,2011,76675.75,Midland County,TX
15494,2012,82218.91667,Midland County,TX
15495,2013,86064.25,Midland County,TX
15496,2014,90947,Midland County,TX
15497,2015,88310.25,Midland County,TX
15498,2010,22775.83333,Navarro County,TX
15499,2011,23085.33333,Navarro County,TX
15500,2012,23249.5,Navarro County,TX
15501,2013,23390.25,Navarro County,TX
15502,2014,23140,Navarro County,TX
15503,2015,22868.5,Navarro County,TX
15504,2010,66245.66667,Randall County,TX
15505,2011,68123.58333,Randall County,TX
15506,2012,68125.66667,Randall County,TX
15507,2013,68530.25,Randall County,TX
15508,2014,68845.5,Randall County,TX
15509,2015,69033,Randall County,TX
15510,2010,3328.166667,Refugio County,TX
15511,2011,3418.75,Refugio County,TX
15512,2012,3508,Refugio County,TX
15513,2013,3562.916667,Refugio County,TX
15514,2014,3600.5,Refugio County,TX
15515,2015,3303.5,Refugio County,TX
15516,2010,480.25,Roberts County,TX
15517,2011,479.8333333,Roberts County,TX
15518,2012,471.5,Roberts County,TX
15519,2013,450.1666667,Roberts County,TX
15520,2014,450.4166667,Roberts County,TX
15521,2015,455.25,Roberts County,TX
15522,2010,5128.916667,Runnels County,TX
15523,2011,5108.25,Runnels County,TX
15524,2012,5060.916667,Runnels County,TX
15525,2013,4979.5,Runnels County,TX
15526,2014,4972.416667,Runnels County,TX
15527,2015,4666.833333,Runnels County,TX
15528,2010,1555.25,Sherman County,TX
15529,2011,1577.833333,Sherman County,TX
15530,2012,1503.833333,Sherman County,TX
15531,2013,1480.5,Sherman County,TX
15532,2014,1505.416667,Sherman County,TX
15533,2015,1419.25,Sherman County,TX
15534,2010,3181.166667,Swisher County,TX
15535,2011,3151.25,Swisher County,TX
15536,2012,3049.833333,Swisher County,TX
15537,2013,2964,Swisher County,TX
15538,2014,2880.916667,Swisher County,TX
15539,2015,2729.916667,Swisher County,TX
15540,2010,924950.75,Tarrant County,TX
15541,2011,950514.75,Tarrant County,TX
15542,2012,966259,Tarrant County,TX
15543,2013,981537.25,Tarrant County,TX
15544,2014,991015.0833,Tarrant County,TX
15545,2015,990682.75,Tarrant County,TX
15546,2010,500.4166667,Terrell County,TX
15547,2011,517.5833333,Terrell County,TX
15548,2012,548.0833333,Terrell County,TX
15549,2013,524.0833333,Terrell County,TX
15550,2014,479.8333333,Terrell County,TX
15551,2015,434.1666667,Terrell County,TX
15552,2010,5783.083333,Trinity County,TX
15553,2011,5718.916667,Trinity County,TX
15554,2012,5574.25,Trinity County,TX
15555,2013,5568.833333,Trinity County,TX
15556,2014,5523.333333,Trinity County,TX
15557,2015,5476.75,Trinity County,TX
15558,2010,21278.83333,Wharton County,TX
15559,2011,21498,Wharton County,TX
15560,2012,21436.5,Wharton County,TX
15561,2013,21508.66667,Wharton County,TX
15562,2014,21574.66667,Wharton County,TX
15563,2015,21212.5,Wharton County,TX
15564,2010,2732.25,Wheeler County,TX
15565,2011,2855.666667,Wheeler County,TX
15566,2012,2895,Wheeler County,TX
15567,2013,3136.333333,Wheeler County,TX
15568,2014,3081.5,Wheeler County,TX
15569,2015,2818.833333,Wheeler County,TX
15570,2010,59280.16667,Wichita County,TX
15571,2011,59026.08333,Wichita County,TX
15572,2012,58468.33333,Wichita County,TX
15573,2013,57339,Wichita County,TX
15574,2014,56511.91667,Wichita County,TX
15575,2015,55280.25,Wichita County,TX
15576,2010,7780.833333,Willacy County,TX
15577,2011,7721.166667,Willacy County,TX
15578,2012,7427.166667,Willacy County,TX
15579,2013,7436.416667,Willacy County,TX
15580,2014,7170,Willacy County,TX
15581,2015,6740.916667,Willacy County,TX
15582,2010,2897.416667,Winkler County,TX
15583,2011,3050.75,Winkler County,TX
15584,2012,3185.25,Winkler County,TX
15585,2013,3322.166667,Winkler County,TX
15586,2014,3286,Winkler County,TX
15587,2015,3100.333333,Winkler County,TX
15588,2010,21711,Anderson County,TX
15589,2011,22194.83333,Anderson County,TX
15590,2012,22391.16667,Anderson County,TX
15591,2013,22042.75,Anderson County,TX
15592,2014,21792.41667,Anderson County,TX
15593,2015,22826.08333,Anderson County,TX
15594,2010,38066.25,Angelina County,TX
15595,2011,38118.08333,Angelina County,TX
15596,2012,37870.25,Angelina County,TX
15597,2013,37965.91667,Angelina County,TX
15598,2014,37741.75,Angelina County,TX
15599,2015,37363.5,Angelina County,TX
15600,2010,19630.75,Atascosa County,TX
15601,2011,19891.41667,Atascosa County,TX
15602,2012,20072,Atascosa County,TX
15603,2013,20246.33333,Atascosa County,TX
15604,2014,20372.08333,Atascosa County,TX
15605,2015,20519.91667,Atascosa County,TX
15606,2010,155227,Brazoria County,TX
15607,2011,158581,Brazoria County,TX
15608,2012,161209.1667,Brazoria County,TX
15609,2013,164345.3333,Brazoria County,TX
15610,2014,166712.5,Brazoria County,TX
15611,2015,166911.5,Brazoria County,TX
15612,2010,4912.25,Brewster County,TX
15613,2011,4861.666667,Brewster County,TX
15614,2012,4562.75,Brewster County,TX
15615,2013,4154.75,Brewster County,TX
15616,2014,4067.416667,Brewster County,TX
15617,2015,3906.666667,Brewster County,TX
15618,2010,7869.833333,Burleson County,TX
15619,2011,7764.5,Burleson County,TX
15620,2012,7666.25,Burleson County,TX
15621,2013,7697.166667,Burleson County,TX
15622,2014,7592.416667,Burleson County,TX
15623,2015,7751.666667,Burleson County,TX
15624,2010,16660.83333,Caldwell County,TX
15625,2011,16857.08333,Caldwell County,TX
15626,2012,16844.83333,Caldwell County,TX
15627,2013,17124.58333,Caldwell County,TX
15628,2014,17241,Caldwell County,TX
15629,2015,17409.75,Caldwell County,TX
15630,2010,6002.083333,Callahan County,TX
15631,2011,6017.583333,Callahan County,TX
15632,2012,5933.083333,Callahan County,TX
15633,2013,5917.416667,Callahan County,TX
15634,2014,5831.416667,Callahan County,TX
15635,2015,5726.25,Callahan County,TX
15636,2010,16606.08333,Chambers County,TX
15637,2011,16801.16667,Chambers County,TX
15638,2012,17150,Chambers County,TX
15639,2013,17485.08333,Chambers County,TX
15640,2014,17842.66667,Chambers County,TX
15641,2015,17792,Chambers County,TX
15642,2010,21892.91667,Cherokee County,TX
15643,2011,22208.66667,Cherokee County,TX
15644,2012,21978.58333,Cherokee County,TX
15645,2013,21534.75,Cherokee County,TX
15646,2014,21182.25,Cherokee County,TX
15647,2015,20880.41667,Cherokee County,TX
15648,2010,9595.916667,Colorado County,TX
15649,2011,10108.5,Colorado County,TX
15650,2012,10183.66667,Colorado County,TX
15651,2013,10102.58333,Colorado County,TX
15652,2014,10276.75,Colorado County,TX
15653,2015,9898.166667,Colorado County,TX
15654,2010,6024.333333,Comanche County,TX
15655,2011,5945.666667,Comanche County,TX
15656,2012,5789.166667,Comanche County,TX
15657,2013,5654,Comanche County,TX
15658,2014,5536.5,Comanche County,TX
15659,2015,5354.25,Comanche County,TX
15660,2010,1720.833333,Crockett County,TX
15661,2011,1714.5,Crockett County,TX
15662,2012,1773.583333,Crockett County,TX
15663,2013,1883.666667,Crockett County,TX
15664,2014,1932.916667,Crockett County,TX
15665,2015,1899.416667,Crockett County,TX
15666,2010,8113.416667,Eastland County,TX
15667,2011,8421.166667,Eastland County,TX
15668,2012,8266.916667,Eastland County,TX
15669,2013,8530,Eastland County,TX
15670,2014,8361.25,Eastland County,TX
15671,2015,8031.333333,Eastland County,TX
15672,2010,4810.166667,Franklin County,TX
15673,2011,4756,Franklin County,TX
15674,2012,4629.5,Franklin County,TX
15675,2013,4690.166667,Franklin County,TX
15676,2014,4658.5,Franklin County,TX
15677,2015,4552.5,Franklin County,TX
15678,2010,9304.166667,Gonzales County,TX
15679,2011,9473.916667,Gonzales County,TX
15680,2012,9457.083333,Gonzales County,TX
15681,2013,9516.75,Gonzales County,TX
15682,2014,9938.166667,Gonzales County,TX
15683,2015,9691.666667,Gonzales County,TX
15684,2010,3939.25,Hamilton County,TX
15685,2011,3879.833333,Hamilton County,TX
15686,2012,3749.75,Hamilton County,TX
15687,2013,3621.916667,Hamilton County,TX
15688,2014,3566.916667,Hamilton County,TX
15689,2015,3480.083333,Hamilton County,TX
15690,2010,3030.083333,Hansford County,TX
15691,2011,3046.333333,Hansford County,TX
15692,2012,3054.75,Hansford County,TX
15693,2013,3129.166667,Hansford County,TX
15694,2014,3242.333333,Hansford County,TX
15695,2015,3109.333333,Hansford County,TX
15696,2010,1940.666667,Hardeman County,TX
15697,2011,1873.25,Hardeman County,TX
15698,2012,1762.75,Hardeman County,TX
15699,2013,1698.916667,Hardeman County,TX
15700,2014,1648.083333,Hardeman County,TX
15701,2015,1619.25,Hardeman County,TX
15702,2010,30821.83333,Harrison County,TX
15703,2011,31521.83333,Harrison County,TX
15704,2012,31972.5,Harrison County,TX
15705,2013,32322,Harrison County,TX
15706,2014,32194.25,Harrison County,TX
15707,2015,31176.5,Harrison County,TX
15708,2010,2129.666667,Hemphill County,TX
15709,2011,2390.166667,Hemphill County,TX
15710,2012,2547.416667,Hemphill County,TX
15711,2013,2475.666667,Hemphill County,TX
15712,2014,2545.416667,Hemphill County,TX
15713,2015,2299.666667,Hemphill County,TX
15714,2010,1412.333333,Hudspeth County,TX
15715,2011,1387.666667,Hudspeth County,TX
15716,2012,1325.75,Hudspeth County,TX
15717,2013,1293.916667,Hudspeth County,TX
15718,2014,1251.333333,Hudspeth County,TX
15719,2015,1279.333333,Hudspeth County,TX
15720,2010,2328.75,Jim Hogg County,TX
15721,2011,2329.833333,Jim Hogg County,TX
15722,2012,2350.166667,Jim Hogg County,TX
15723,2013,2325.333333,Jim Hogg County,TX
15724,2014,2198.583333,Jim Hogg County,TX
15725,2015,2025.916667,Jim Hogg County,TX
15726,2010,9019.833333,Lampasas County,TX
15727,2011,9138.666667,Lampasas County,TX
15728,2012,9091.583333,Lampasas County,TX
15729,2013,9130.833333,Lampasas County,TX
15730,2014,8967.833333,Lampasas County,TX
15731,2015,9047.75,Lampasas County,TX
15732,2010,2721.25,La Salle County,TX
15733,2011,3136.333333,La Salle County,TX
15734,2012,3670.25,La Salle County,TX
15735,2013,4177,La Salle County,TX
15736,2014,4577,La Salle County,TX
15737,2015,4265.416667,La Salle County,TX
15738,2010,1665,Lipscomb County,TX
15739,2011,1743.166667,Lipscomb County,TX
15740,2012,1757.5,Lipscomb County,TX
15741,2013,1721,Lipscomb County,TX
15742,2014,1748.416667,Lipscomb County,TX
15743,2015,1722.416667,Lipscomb County,TX
15744,2010,4631,Live Oak County,TX
15745,2011,5234.416667,Live Oak County,TX
15746,2012,5768.166667,Live Oak County,TX
15747,2013,6031.833333,Live Oak County,TX
15748,2014,6115.833333,Live Oak County,TX
15749,2015,5884.416667,Live Oak County,TX
15750,2010,112899.9167,McLennan County,TX
15751,2011,113365.25,McLennan County,TX
15752,2012,112371.4167,McLennan County,TX
15753,2013,112195.1667,McLennan County,TX
15754,2014,112906.0833,McLennan County,TX
15755,2015,112473.3333,McLennan County,TX
15756,2010,487.6666667,McMullen County,TX
15757,2011,659.9166667,McMullen County,TX
15758,2012,744.3333333,McMullen County,TX
15759,2013,882.6666667,McMullen County,TX
15760,2014,1059.75,McMullen County,TX
15761,2015,968.1666667,McMullen County,TX
15762,2010,23524.75,Maverick County,TX
15763,2011,23913.91667,Maverick County,TX
15764,2012,23372.58333,Maverick County,TX
15765,2013,23666.83333,Maverick County,TX
15766,2014,23396.66667,Maverick County,TX
15767,2015,23621.33333,Maverick County,TX
15768,2010,2970.75,Mitchell County,TX
15769,2011,2942.166667,Mitchell County,TX
15770,2012,2877.416667,Mitchell County,TX
15771,2013,2878.333333,Mitchell County,TX
15772,2014,2904.5,Mitchell County,TX
15773,2015,2742,Mitchell County,TX
15774,2010,9423.833333,Montague County,TX
15775,2011,9602,Montague County,TX
15776,2012,9851.25,Montague County,TX
15777,2013,10366.58333,Montague County,TX
15778,2014,10137,Montague County,TX
15779,2015,9695.666667,Montague County,TX
15780,2010,3743.583333,Presidio County,TX
15781,2011,3780.833333,Presidio County,TX
15782,2012,3827.333333,Presidio County,TX
15783,2013,3756.5,Presidio County,TX
15784,2014,3412.333333,Presidio County,TX
15785,2015,3112.583333,Presidio County,TX
15786,2010,39438.58333,Rockwall County,TX
15787,2011,40616.25,Rockwall County,TX
15788,2012,41194.91667,Rockwall County,TX
15789,2013,42275.58333,Rockwall County,TX
15790,2014,43415.33333,Rockwall County,TX
15791,2015,44861.58333,Rockwall County,TX
15792,2010,2558.5,San Saba County,TX
15793,2011,2521.666667,San Saba County,TX
15794,2012,2295.166667,San Saba County,TX
15795,2013,2273.25,San Saba County,TX
15796,2014,2231,San Saba County,TX
15797,2015,2243.416667,San Saba County,TX
15798,2010,4245,Stephens County,TX
15799,2011,4439.666667,Stephens County,TX
15800,2012,4383.75,Stephens County,TX
15801,2013,4207.833333,Stephens County,TX
15802,2014,4291.5,Stephens County,TX
15803,2015,4103.666667,Stephens County,TX
15804,2010,675.1666667,Sterling County,TX
15805,2011,682.3333333,Sterling County,TX
15806,2012,719.8333333,Sterling County,TX
15807,2013,751.75,Sterling County,TX
15808,2014,811.8333333,Sterling County,TX
15809,2015,745.9166667,Sterling County,TX
15810,2010,43078.91667,Victoria County,TX
15811,2011,43741.58333,Victoria County,TX
15812,2012,45250,Victoria County,TX
15813,2013,45836.83333,Victoria County,TX
15814,2014,46261.83333,Victoria County,TX
15815,2015,45296.58333,Victoria County,TX
15816,2010,1011.75,Armstrong County,TX
15817,2011,1036.666667,Armstrong County,TX
15818,2012,1027.166667,Armstrong County,TX
15819,2013,1006.166667,Armstrong County,TX
15820,2014,1003.5,Armstrong County,TX
15821,2015,974.3333333,Armstrong County,TX
15822,2010,3157.666667,Childress County,TX
15823,2011,3084,Childress County,TX
15824,2012,2968.583333,Childress County,TX
15825,2013,2936,Childress County,TX
15826,2014,2863.333333,Childress County,TX
15827,2015,2866.5,Childress County,TX
15828,2010,1032.25,Culberson County,TX
15829,2011,1018.333333,Culberson County,TX
15830,2012,989,Culberson County,TX
15831,2013,1019.083333,Culberson County,TX
15832,2014,1012.583333,Culberson County,TX
15833,2015,1039,Culberson County,TX
15834,2010,298162.1667,Fort Bend County,TX
15835,2011,308363.3333,Fort Bend County,TX
15836,2012,319113.1667,Fort Bend County,TX
15837,2013,333271.5,Fort Bend County,TX
15838,2014,347067.5833,Fort Bend County,TX
15839,2015,355573.25,Fort Bend County,TX
15840,2010,8149,Freestone County,TX
15841,2011,8079,Freestone County,TX
15842,2012,8061.416667,Freestone County,TX
15843,2013,7859.583333,Freestone County,TX
15844,2014,7844.416667,Freestone County,TX
15845,2015,7404.416667,Freestone County,TX
15846,2010,147320.6667,Galveston County,TX
15847,2011,149857.3333,Galveston County,TX
15848,2012,153147.5833,Galveston County,TX
15849,2013,155753.75,Galveston County,TX
15850,2014,157629.1667,Galveston County,TX
15851,2015,157808.5,Galveston County,TX
15852,2010,12199.16667,Gillespie County,TX
15853,2011,12447.41667,Gillespie County,TX
15854,2012,12330.75,Gillespie County,TX
15855,2013,12425.66667,Gillespie County,TX
15856,2014,12520.83333,Gillespie County,TX
15857,2015,12633.25,Gillespie County,TX
15858,2010,704.1666667,Glasscock County,TX
15859,2011,747.25,Glasscock County,TX
15860,2012,762.5833333,Glasscock County,TX
15861,2013,743.4166667,Glasscock County,TX
15862,2014,829.75,Glasscock County,TX
15863,2015,820.9166667,Glasscock County,TX
15864,2010,64924.25,Guadalupe County,TX
15865,2011,66765.91667,Guadalupe County,TX
15866,2012,68311.41667,Guadalupe County,TX
15867,2013,70098.08333,Guadalupe County,TX
15868,2014,71581.16667,Guadalupe County,TX
15869,2015,72881.83333,Guadalupe County,TX
15870,2010,34752.66667,Henderson County,TX
15871,2011,35053.08333,Henderson County,TX
15872,2012,34547,Henderson County,TX
15873,2013,34561.83333,Henderson County,TX
15874,2014,34738.83333,Henderson County,TX
15875,2015,34339.25,Henderson County,TX
15876,2010,113216.9167,Jefferson County,TX
15877,2011,115462.6667,Jefferson County,TX
15878,2012,113610.9167,Jefferson County,TX
15879,2013,111264.25,Jefferson County,TX
15880,2014,110138.4167,Jefferson County,TX
15881,2015,107872.25,Jefferson County,TX
15882,2010,18257.75,Jim Wells County,TX
15883,2011,19761.41667,Jim Wells County,TX
15884,2012,20651.91667,Jim Wells County,TX
15885,2013,20143.16667,Jim Wells County,TX
15886,2014,20105.66667,Jim Wells County,TX
15887,2015,19203.25,Jim Wells County,TX
15888,2010,9937.833333,Limestone County,TX
15889,2011,9575.583333,Limestone County,TX
15890,2012,9605.333333,Limestone County,TX
15891,2013,9483.333333,Limestone County,TX
15892,2014,9202.083333,Limestone County,TX
15893,2015,8571.916667,Limestone County,TX
15894,2010,4096.916667,McCulloch County,TX
15895,2011,4359.5,McCulloch County,TX
15896,2012,4402.5,McCulloch County,TX
15897,2013,4272.583333,McCulloch County,TX
15898,2014,4113,McCulloch County,TX
15899,2015,3919.583333,McCulloch County,TX
15900,2010,18158,Matagorda County,TX
15901,2011,17794.16667,Matagorda County,TX
15902,2012,17105.75,Matagorda County,TX
15903,2013,16850.5,Matagorda County,TX
15904,2014,16680.16667,Matagorda County,TX
15905,2015,17162.41667,Matagorda County,TX
15906,2010,4867.5,Ochiltree County,TX
15907,2011,5107.833333,Ochiltree County,TX
15908,2012,5320.25,Ochiltree County,TX
15909,2013,5429.833333,Ochiltree County,TX
15910,2014,5573.166667,Ochiltree County,TX
15911,2015,5267.583333,Ochiltree County,TX
15912,2010,5579.916667,Red River County,TX
15913,2011,5492.833333,Red River County,TX
15914,2012,5262.75,Red River County,TX
15915,2013,5141.75,Red River County,TX
15916,2014,4936.583333,Red River County,TX
15917,2015,4904.333333,Red River County,TX
15918,2010,7561,Robertson County,TX
15919,2011,7543.583333,Robertson County,TX
15920,2012,7290.166667,Robertson County,TX
15921,2013,7288.75,Robertson County,TX
15922,2014,7147.916667,Robertson County,TX
15923,2015,7242,Robertson County,TX
15924,2010,4043.333333,Somervell County,TX
15925,2011,4084.583333,Somervell County,TX
15926,2012,4143.583333,Somervell County,TX
15927,2013,4146.5,Somervell County,TX
15928,2014,4136.166667,Somervell County,TX
15929,2015,4106.666667,Somervell County,TX
15930,2010,745.9166667,Stonewall County,TX
15931,2011,745.9166667,Stonewall County,TX
15932,2012,748,Stonewall County,TX
15933,2013,707.6666667,Stonewall County,TX
15934,2014,696.9166667,Stonewall County,TX
15935,2015,661.8333333,Stonewall County,TX
15936,2010,52594.66667,Tom Green County,TX
15937,2011,53261.91667,Tom Green County,TX
