,Year,Average (Monthly) Number Unemployed,county,state
15436,2014,819.3333333,Hopkins County,TX
15437,2015,713.9166667,Hopkins County,TX
15438,2010,807.9166667,Houston County,TX
15439,2011,830.1666667,Houston County,TX
15440,2012,714.8333333,Houston County,TX
15441,2013,614.4166667,Houston County,TX
15442,2014,485.6666667,Houston County,TX
15443,2015,442.3333333,Houston County,TX
15444,2010,502,Jackson County,TX
15445,2011,458,Jackson County,TX
15446,2012,380.6666667,Jackson County,TX
15447,2013,372.1666667,Jackson County,TX
15448,2014,298.8333333,Jackson County,TX
15449,2015,276.1666667,Jackson County,TX
15450,2010,6237.083333,Johnson County,TX
15451,2011,5656.666667,Johnson County,TX
15452,2012,4861.166667,Johnson County,TX
15453,2013,4508.833333,Johnson County,TX
15454,2014,3745.25,Johnson County,TX
15455,2015,3254.666667,Johnson County,TX
15456,2010,4311.416667,Kaufman County,TX
15457,2011,4135.166667,Kaufman County,TX
15458,2012,3587.833333,Kaufman County,TX
15459,2013,3330.75,Kaufman County,TX
15460,2014,2757.083333,Kaufman County,TX
15461,2015,2236.666667,Kaufman County,TX
15462,2010,1020.666667,Kendall County,TX
15463,2011,1027.416667,Kendall County,TX
15464,2012,944.8333333,Kendall County,TX
15465,2013,925,Kendall County,TX
15466,2014,755.4166667,Kendall County,TX
15467,2015,627.3333333,Kendall County,TX
15468,2010,1256.083333,Kleberg County,TX
15469,2011,1233.083333,Kleberg County,TX
15470,2012,1059.75,Kleberg County,TX
15471,2013,999.6666667,Kleberg County,TX
15472,2014,831.4166667,Kleberg County,TX
15473,2015,847.8333333,Kleberg County,TX
15474,2010,3573.5,Liberty County,TX
15475,2011,3412.75,Liberty County,TX
15476,2012,2957.25,Liberty County,TX
15477,2013,2762,Liberty County,TX
15478,2014,2218.75,Liberty County,TX
15479,2015,2131.416667,Liberty County,TX
15480,2010,8967.25,Lubbock County,TX
15481,2011,8754.666667,Lubbock County,TX
15482,2012,7786.833333,Lubbock County,TX
15483,2013,7287.083333,Lubbock County,TX
15484,2014,5817.583333,Lubbock County,TX
15485,2015,5079.75,Lubbock County,TX
15486,2010,399.5833333,Madison County,TX
15487,2011,387.25,Madison County,TX
15488,2012,328.5833333,Madison County,TX
15489,2013,312.25,Madison County,TX
15490,2014,244.3333333,Madison County,TX
15491,2015,218.5833333,Madison County,TX
15492,2010,4176.083333,Midland County,TX
15493,2011,3645.666667,Midland County,TX
15494,2012,3192.583333,Midland County,TX
15495,2013,3149.583333,Midland County,TX
15496,2014,2610.083333,Midland County,TX
15497,2015,3052.833333,Midland County,TX
15498,2010,1897.75,Navarro County,TX
15499,2011,1869.916667,Navarro County,TX
15500,2012,1688.666667,Navarro County,TX
15501,2013,1527.5,Navarro County,TX
15502,2014,1203.916667,Navarro County,TX
15503,2015,960.4166667,Navarro County,TX
15504,2010,3426.25,Randall County,TX
15505,2011,3374.666667,Randall County,TX
15506,2012,3013.25,Randall County,TX
15507,2013,2950.75,Randall County,TX
15508,2014,2373.333333,Randall County,TX
15509,2015,1996.166667,Randall County,TX
15510,2010,291.0833333,Refugio County,TX
15511,2011,258.5833333,Refugio County,TX
15512,2012,210.5,Refugio County,TX
15513,2013,192,Refugio County,TX
15514,2014,153.3333333,Refugio County,TX
15515,2015,175.4166667,Refugio County,TX
15516,2010,26.16666667,Roberts County,TX
15517,2011,23.5,Roberts County,TX
15518,2012,23.91666667,Roberts County,TX
15519,2013,19.58333333,Roberts County,TX
15520,2014,16.41666667,Roberts County,TX
15521,2015,18.08333333,Roberts County,TX
15522,2010,426.5833333,Runnels County,TX
15523,2011,374.25,Runnels County,TX
15524,2012,280.1666667,Runnels County,TX
15525,2013,262.25,Runnels County,TX
15526,2014,210.5833333,Runnels County,TX
15527,2015,172.8333333,Runnels County,TX
15528,2010,71.41666667,Sherman County,TX
15529,2011,71.5,Sherman County,TX
15530,2012,62.91666667,Sherman County,TX
15531,2013,60.16666667,Sherman County,TX
15532,2014,47.16666667,Sherman County,TX
15533,2015,38.91666667,Sherman County,TX
15534,2010,208.5,Swisher County,TX
15535,2011,211.75,Swisher County,TX
15536,2012,181.0833333,Swisher County,TX
15537,2013,250.3333333,Swisher County,TX
15538,2014,176.0833333,Swisher County,TX
15539,2015,129.6666667,Swisher County,TX
15540,2010,75374.83333,Tarrant County,TX
15541,2011,71788.41667,Tarrant County,TX
15542,2012,62944.33333,Tarrant County,TX
15543,2013,59367.25,Tarrant County,TX
15544,2014,49828.66667,Tarrant County,TX
15545,2015,41169.33333,Tarrant County,TX
15546,2010,33.83333333,Terrell County,TX
15547,2011,32,Terrell County,TX
15548,2012,25.5,Terrell County,TX
15549,2013,25.58333333,Terrell County,TX
15550,2014,21.5,Terrell County,TX
15551,2015,21,Terrell County,TX
15552,2010,550.8333333,Trinity County,TX
15553,2011,545.6666667,Trinity County,TX
15554,2012,456.4166667,Trinity County,TX
15555,2013,415.75,Trinity County,TX
15556,2014,331.75,Trinity County,TX
15557,2015,322.0833333,Trinity County,TX
15558,2010,1847.833333,Wharton County,TX
15559,2011,1774.916667,Wharton County,TX
15560,2012,1450,Wharton County,TX
15561,2013,1282.583333,Wharton County,TX
15562,2014,1005.25,Wharton County,TX
15563,2015,935,Wharton County,TX
15564,2010,166.9166667,Wheeler County,TX
15565,2011,140.9166667,Wheeler County,TX
15566,2012,126.3333333,Wheeler County,TX
15567,2013,134.8333333,Wheeler County,TX
15568,2014,109.6666667,Wheeler County,TX
15569,2015,109.0833333,Wheeler County,TX
15570,2010,4599.25,Wichita County,TX
15571,2011,4065.666667,Wichita County,TX
15572,2012,3554.25,Wichita County,TX
15573,2013,3355.416667,Wichita County,TX
15574,2014,2752.25,Wichita County,TX
15575,2015,2365.916667,Wichita County,TX
15576,2010,1125.166667,Willacy County,TX
15577,2011,1271.333333,Willacy County,TX
15578,2012,1173.583333,Willacy County,TX
15579,2013,1173.25,Willacy County,TX
15580,2014,887.5,Willacy County,TX
15581,2015,878,Willacy County,TX
15582,2010,265.9166667,Winkler County,TX
15583,2011,216.9166667,Winkler County,TX
15584,2012,179.75,Winkler County,TX
15585,2013,175,Winkler County,TX
15586,2014,144.25,Winkler County,TX
15587,2015,176.4166667,Winkler County,TX
15588,2010,1755.25,Anderson County,TX
15589,2011,1624.416667,Anderson County,TX
15590,2012,1417.083333,Anderson County,TX
15591,2013,1279.416667,Anderson County,TX
15592,2014,1014.833333,Anderson County,TX
15593,2015,896,Anderson County,TX
15594,2010,3241.5,Angelina County,TX
15595,2011,3010.833333,Angelina County,TX
15596,2012,2613.166667,Angelina County,TX
15597,2013,2456.666667,Angelina County,TX
15598,2014,1974.583333,Angelina County,TX
15599,2015,2086,Angelina County,TX
15600,2010,1601.166667,Atascosa County,TX
15601,2011,1588,Atascosa County,TX
15602,2012,1353.166667,Atascosa County,TX
15603,2013,1261.75,Atascosa County,TX
15604,2014,1007,Atascosa County,TX
15605,2015,976.1666667,Atascosa County,TX
15606,2010,13184.25,Brazoria County,TX
15607,2011,12723.75,Brazoria County,TX
15608,2012,10752.16667,Brazoria County,TX
15609,2013,10043.41667,Brazoria County,TX
15610,2014,8462.166667,Brazoria County,TX
15611,2015,7626.083333,Brazoria County,TX
15612,2010,268.1666667,Brewster County,TX
15613,2011,270.1666667,Brewster County,TX
15614,2012,231.9166667,Brewster County,TX
15615,2013,230.5,Brewster County,TX
15616,2014,188.4166667,Brewster County,TX
15617,2015,153.8333333,Brewster County,TX
15618,2010,618.6666667,Burleson County,TX
15619,2011,565.3333333,Burleson County,TX
15620,2012,482,Burleson County,TX
15621,2013,475,Burleson County,TX
15622,2014,360.6666667,Burleson County,TX
15623,2015,337.4166667,Burleson County,TX
15624,2010,1436.333333,Caldwell County,TX
15625,2011,1420.166667,Caldwell County,TX
15626,2012,1208.416667,Caldwell County,TX
15627,2013,1123.583333,Caldwell County,TX
15628,2014,896.25,Caldwell County,TX
15629,2015,754.5,Caldwell County,TX
15630,2010,435.75,Callahan County,TX
15631,2011,430.9166667,Callahan County,TX
15632,2012,360.6666667,Callahan County,TX
15633,2013,339.1666667,Callahan County,TX
15634,2014,258.6666667,Callahan County,TX
15635,2015,243.6666667,Callahan County,TX
15636,2010,1607.5,Chambers County,TX
15637,2011,1559.5,Chambers County,TX
15638,2012,1378.666667,Chambers County,TX
15639,2013,1282.833333,Chambers County,TX
15640,2014,1027.166667,Chambers County,TX
15641,2015,948.1666667,Chambers County,TX
15642,2010,1932.083333,Cherokee County,TX
15643,2011,1804.833333,Cherokee County,TX
15644,2012,1590.75,Cherokee County,TX
15645,2013,1493.416667,Cherokee County,TX
15646,2014,1227.583333,Cherokee County,TX
15647,2015,1076.583333,Cherokee County,TX
15648,2010,779.8333333,Colorado County,TX
15649,2011,782.3333333,Colorado County,TX
15650,2012,647.75,Colorado County,TX
15651,2013,582.25,Colorado County,TX
15652,2014,456.0833333,Colorado County,TX
15653,2015,389.6666667,Colorado County,TX
15654,2010,454.6666667,Comanche County,TX
15655,2011,441,Comanche County,TX
15656,2012,368.6666667,Comanche County,TX
15657,2013,330.9166667,Comanche County,TX
15658,2014,266.6666667,Comanche County,TX
15659,2015,226.9166667,Comanche County,TX
15660,2010,146.3333333,Crockett County,TX
15661,2011,112.5,Crockett County,TX
15662,2012,89.08333333,Crockett County,TX
15663,2013,96.25,Crockett County,TX
15664,2014,73.33333333,Crockett County,TX
15665,2015,114.3333333,Crockett County,TX
15666,2010,701.3333333,Eastland County,TX
15667,2011,645.8333333,Eastland County,TX
15668,2012,550.5833333,Eastland County,TX
15669,2013,515.9166667,Eastland County,TX
15670,2014,402.6666667,Eastland County,TX
15671,2015,379.0833333,Eastland County,TX
15672,2010,413.5833333,Franklin County,TX
15673,2011,387.5833333,Franklin County,TX
15674,2012,342,Franklin County,TX
15675,2013,305.75,Franklin County,TX
15676,2014,239.5833333,Franklin County,TX
15677,2015,221.5,Franklin County,TX
15678,2010,634.0833333,Gonzales County,TX
15679,2011,582.5,Gonzales County,TX
15680,2012,480,Gonzales County,TX
15681,2013,487,Gonzales County,TX
15682,2014,382.8333333,Gonzales County,TX
15683,2015,355.4166667,Gonzales County,TX
15684,2010,267.9166667,Hamilton County,TX
15685,2011,246.1666667,Hamilton County,TX
15686,2012,217.9166667,Hamilton County,TX
15687,2013,216.4166667,Hamilton County,TX
15688,2014,164.0833333,Hamilton County,TX
15689,2015,161.9166667,Hamilton County,TX
15690,2010,130.9166667,Hansford County,TX
15691,2011,123.75,Hansford County,TX
15692,2012,104.0833333,Hansford County,TX
15693,2013,102.25,Hansford County,TX
15694,2014,82.08333333,Hansford County,TX
15695,2015,92.25,Hansford County,TX
15696,2010,161.0833333,Hardeman County,TX
15697,2011,130.3333333,Hardeman County,TX
15698,2012,104.1666667,Hardeman County,TX
15699,2013,98.58333333,Hardeman County,TX
15700,2014,81,Hardeman County,TX
15701,2015,79.25,Hardeman County,TX
15702,2010,2888,Harrison County,TX
15703,2011,2673.416667,Harrison County,TX
15704,2012,2364.25,Harrison County,TX
15705,2013,2214.166667,Harrison County,TX
15706,2014,1769.416667,Harrison County,TX
15707,2015,1625.25,Harrison County,TX
15708,2010,83.5,Hemphill County,TX
15709,2011,83.25,Hemphill County,TX
15710,2012,74.33333333,Hemphill County,TX
15711,2013,74.91666667,Hemphill County,TX
15712,2014,60.83333333,Hemphill County,TX
15713,2015,72.25,Hemphill County,TX
15714,2010,111.6666667,Hudspeth County,TX
15715,2011,111.1666667,Hudspeth County,TX
15716,2012,98.58333333,Hudspeth County,TX
15717,2013,90.25,Hudspeth County,TX
15718,2014,78.91666667,Hudspeth County,TX
15719,2015,71.75,Hudspeth County,TX
15720,2010,239.5833333,Jim Hogg County,TX
15721,2011,201.0833333,Jim Hogg County,TX
15722,2012,154.5833333,Jim Hogg County,TX
15723,2013,164.8333333,Jim Hogg County,TX
15724,2014,133.1666667,Jim Hogg County,TX
15725,2015,145.75,Jim Hogg County,TX
15726,2010,640.9166667,Lampasas County,TX
15727,2011,691.1666667,Lampasas County,TX
15728,2012,647.0833333,Lampasas County,TX
15729,2013,653.4166667,Lampasas County,TX
15730,2014,502.8333333,Lampasas County,TX
15731,2015,396.6666667,Lampasas County,TX
15732,2010,242.6666667,La Salle County,TX
15733,2011,210.3333333,La Salle County,TX
15734,2012,163,La Salle County,TX
15735,2013,156.75,La Salle County,TX
15736,2014,141.1666667,La Salle County,TX
15737,2015,177.25,La Salle County,TX
15738,2010,97.58333333,Lipscomb County,TX
15739,2011,79.83333333,Lipscomb County,TX
15740,2012,67.66666667,Lipscomb County,TX
15741,2013,67.83333333,Lipscomb County,TX
15742,2014,58.66666667,Lipscomb County,TX
15743,2015,66.91666667,Lipscomb County,TX
15744,2010,338.9166667,Live Oak County,TX
15745,2011,311.3333333,Live Oak County,TX
15746,2012,263.0833333,Live Oak County,TX
15747,2013,262.6666667,Live Oak County,TX
15748,2014,218.0833333,Live Oak County,TX
15749,2015,235.5,Live Oak County,TX
15750,2010,8307,McLennan County,TX
15751,2011,8419.833333,McLennan County,TX
15752,2012,7461.583333,McLennan County,TX
15753,2013,6935.916667,McLennan County,TX
15754,2014,5695.75,McLennan County,TX
15755,2015,4568.166667,McLennan County,TX
15756,2010,21.33333333,McMullen County,TX
15757,2011,20.41666667,McMullen County,TX
15758,2012,17.58333333,McMullen County,TX
15759,2013,23.33333333,McMullen County,TX
15760,2014,20.83333333,McMullen County,TX
15761,2015,20,McMullen County,TX
15762,2010,3565.5,Maverick County,TX
15763,2011,3354.333333,Maverick County,TX
15764,2012,2927.916667,Maverick County,TX
15765,2013,2955.25,Maverick County,TX
15766,2014,2560.916667,Maverick County,TX
15767,2015,2512.833333,Maverick County,TX
15768,2010,244.25,Mitchell County,TX
15769,2011,220.5,Mitchell County,TX
15770,2012,171.75,Mitchell County,TX
15771,2013,159,Mitchell County,TX
15772,2014,123.5,Mitchell County,TX
15773,2015,154.25,Mitchell County,TX
15774,2010,753.5833333,Montague County,TX
15775,2011,624,Montague County,TX
15776,2012,532.5833333,Montague County,TX
15777,2013,509.5,Montague County,TX
15778,2014,402.1666667,Montague County,TX
15779,2015,410.5,Montague County,TX
15780,2010,691.1666667,Presidio County,TX
15781,2011,573.75,Presidio County,TX
15782,2012,508.4166667,Presidio County,TX
15783,2013,482.8333333,Presidio County,TX
15784,2014,397.1666667,Presidio County,TX
15785,2015,330.8333333,Presidio County,TX
15786,2010,2914.666667,Rockwall County,TX
15787,2011,2879.25,Rockwall County,TX
15788,2012,2545.583333,Rockwall County,TX
15789,2013,2432,Rockwall County,TX
15790,2014,1957.5,Rockwall County,TX
15791,2015,1681.083333,Rockwall County,TX
15792,2010,157.8333333,San Saba County,TX
15793,2011,152.5,San Saba County,TX
15794,2012,143.1666667,San Saba County,TX
15795,2013,130,San Saba County,TX
15796,2014,92.83333333,San Saba County,TX
15797,2015,81.83333333,San Saba County,TX
15798,2010,316.75,Stephens County,TX
15799,2011,345.1666667,Stephens County,TX
15800,2012,259.6666667,Stephens County,TX
15801,2013,217.4166667,Stephens County,TX
15802,2014,187.25,Stephens County,TX
15803,2015,171.5,Stephens County,TX
15804,2010,32.08333333,Sterling County,TX
15805,2011,33.25,Sterling County,TX
15806,2012,25.25,Sterling County,TX
15807,2013,29,Sterling County,TX
15808,2014,23.66666667,Sterling County,TX
15809,2015,25.25,Sterling County,TX
15810,2010,3301.083333,Victoria County,TX
15811,2011,2950.166667,Victoria County,TX
15812,2012,2526.75,Victoria County,TX
15813,2013,2444.25,Victoria County,TX
15814,2014,1923.416667,Victoria County,TX
15815,2015,1894.5,Victoria County,TX
15816,2010,50,Armstrong County,TX
15817,2011,49.5,Armstrong County,TX
15818,2012,45.83333333,Armstrong County,TX
15819,2013,40.08333333,Armstrong County,TX
15820,2014,31.83333333,Armstrong County,TX
15821,2015,25.58333333,Armstrong County,TX
15822,2010,178.4166667,Childress County,TX
15823,2011,159.1666667,Childress County,TX
15824,2012,130.8333333,Childress County,TX
15825,2013,125.25,Childress County,TX
15826,2014,104.25,Childress County,TX
15827,2015,89.08333333,Childress County,TX
15828,2010,73.25,Culberson County,TX
15829,2011,70.33333333,Culberson County,TX
15830,2012,59.66666667,Culberson County,TX
15831,2013,51.41666667,Culberson County,TX
15832,2014,42.16666667,Culberson County,TX
15833,2015,43,Culberson County,TX
15834,2010,22709.41667,Fort Bend County,TX
15835,2011,21884,Fort Bend County,TX
15836,2012,18994.5,Fort Bend County,TX
15837,2013,18296.25,Fort Bend County,TX
15838,2014,15661.83333,Fort Bend County,TX
15839,2015,15132.16667,Fort Bend County,TX
15840,2010,670.9166667,Freestone County,TX
15841,2011,632.4166667,Freestone County,TX
15842,2012,542.5,Freestone County,TX
15843,2013,542.4166667,Freestone County,TX
15844,2014,441,Freestone County,TX
15845,2015,400.6666667,Freestone County,TX
15846,2010,13453.75,Galveston County,TX
15847,2011,13230.08333,Galveston County,TX
15848,2012,11696.66667,Galveston County,TX
15849,2013,10711.25,Galveston County,TX
15850,2014,8836.083333,Galveston County,TX
15851,2015,7854.333333,Galveston County,TX
15852,2010,665.8333333,Gillespie County,TX
15853,2011,662.4166667,Gillespie County,TX
15854,2012,579,Gillespie County,TX
15855,2013,547.1666667,Gillespie County,TX
15856,2014,440.75,Gillespie County,TX
15857,2015,362.9166667,Gillespie County,TX
15858,2010,34.41666667,Glasscock County,TX
15859,2011,31.58333333,Glasscock County,TX
15860,2012,30.58333333,Glasscock County,TX
15861,2013,26.58333333,Glasscock County,TX
15862,2014,21.91666667,Glasscock County,TX
15863,2015,23,Glasscock County,TX
15864,2010,4363.916667,Guadalupe County,TX
15865,2011,4327.333333,Guadalupe County,TX
15866,2012,3876.75,Guadalupe County,TX
15867,2013,3845.416667,Guadalupe County,TX
15868,2014,3093.5,Guadalupe County,TX
15869,2015,2569.333333,Guadalupe County,TX
15870,2010,3061.25,Henderson County,TX
15871,2011,2985.083333,Henderson County,TX
15872,2012,2615.333333,Henderson County,TX
15873,2013,2457.75,Henderson County,TX
15874,2014,1937.416667,Henderson County,TX
15875,2015,1666.25,Henderson County,TX
15876,2010,12846.25,Jefferson County,TX
15877,2011,13157.75,Jefferson County,TX
15878,2012,12555.83333,Jefferson County,TX
15879,2013,12093.75,Jefferson County,TX
15880,2014,9116.833333,Jefferson County,TX
15881,2015,7505.5,Jefferson County,TX
15882,2010,1820.416667,Jim Wells County,TX
15883,2011,1560.75,Jim Wells County,TX
15884,2012,1273.75,Jim Wells County,TX
15885,2013,1234.166667,Jim Wells County,TX
15886,2014,1048.75,Jim Wells County,TX
15887,2015,1514.916667,Jim Wells County,TX
15888,2010,782.8333333,Limestone County,TX
15889,2011,792.8333333,Limestone County,TX
15890,2012,660.6666667,Limestone County,TX
15891,2013,638.75,Limestone County,TX
15892,2014,536.6666667,Limestone County,TX
15893,2015,428.8333333,Limestone County,TX
15894,2010,287,McCulloch County,TX
15895,2011,258,McCulloch County,TX
15896,2012,237.0833333,McCulloch County,TX
15897,2013,225.3333333,McCulloch County,TX
15898,2014,173,McCulloch County,TX
15899,2015,187.9166667,McCulloch County,TX
15900,2010,2083,Matagorda County,TX
15901,2011,2061.916667,Matagorda County,TX
15902,2012,1731.833333,Matagorda County,TX
15903,2013,1635.5,Matagorda County,TX
15904,2014,1308.333333,Matagorda County,TX
15905,2015,1155.666667,Matagorda County,TX
15906,2010,287.5,Ochiltree County,TX
15907,2011,246,Ochiltree County,TX
15908,2012,205.1666667,Ochiltree County,TX
15909,2013,204.25,Ochiltree County,TX
15910,2014,165.75,Ochiltree County,TX
15911,2015,224,Ochiltree County,TX
15912,2010,643.9166667,Red River County,TX
15913,2011,664,Red River County,TX
15914,2012,563.0833333,Red River County,TX
15915,2013,516.5,Red River County,TX
15916,2014,382.8333333,Red River County,TX
15917,2015,307.8333333,Red River County,TX
15918,2010,696.4166667,Robertson County,TX
15919,2011,692.8333333,Robertson County,TX
15920,2012,585.9166667,Robertson County,TX
15921,2013,510.8333333,Robertson County,TX
15922,2014,383.75,Robertson County,TX
15923,2015,344.8333333,Robertson County,TX
15924,2010,322.1666667,Somervell County,TX
15925,2011,317.1666667,Somervell County,TX
15926,2012,274.25,Somervell County,TX
15927,2013,250,Somervell County,TX
15928,2014,211.8333333,Somervell County,TX
15929,2015,205.75,Somervell County,TX
15930,2010,43,Stonewall County,TX
15931,2011,40.5,Stonewall County,TX
15932,2012,32.58333333,Stonewall County,TX
15933,2013,33.33333333,Stonewall County,TX
15934,2014,26.66666667,Stonewall County,TX
15935,2015,28.83333333,Stonewall County,TX
15936,2010,3445.916667,Tom Green County,TX
15937,2011,3330.833333,Tom Green County,TX
15938,2012,2868.666667,Tom Green County,TX
15939,2013,2798.166667,Tom Green County,TX
15940,2014,2203,Tom Green County,TX
15941,2015,2232.916667,Tom Green County,TX
15942,2010,1914.833333,Val Verde County,TX
15943,2011,1835.666667,Val Verde County,TX
15944,2012,1524.25,Val Verde County,TX
15945,2013,1453.083333,Val Verde County,TX
15946,2014,1113.083333,Val Verde County,TX
15947,2015,1172.583333,Val Verde County,TX
15948,2010,1981,Van Zandt County,TX
15949,2011,1893.25,Van Zandt County,TX
15950,2012,1637.75,Van Zandt County,TX
15951,2013,1555.666667,Van Zandt County,TX
15952,2014,1262.333333,Van Zandt County,TX
15953,2015,1086,Van Zandt County,TX
15954,2010,482.5833333,Wilbarger County,TX
15955,2011,437.9166667,Wilbarger County,TX
15956,2012,356.0833333,Wilbarger County,TX
15957,2013,334.0833333,Wilbarger County,TX
15958,2014,260,Wilbarger County,TX
15959,2015,246.1666667,Wilbarger County,TX
15960,2010,547.0833333,Deaf Smith County,TX
15961,2011,523.5,Deaf Smith County,TX
15962,2012,438.4166667,Deaf Smith County,TX
15963,2013,408,Deaf Smith County,TX
15964,2014,329.3333333,Deaf Smith County,TX
15965,2015,276.4166667,Deaf Smith County,TX
15966,2010,820.4166667,Hutchinson County,TX
15967,2011,782.3333333,Hutchinson County,TX
15968,2012,637.75,Hutchinson County,TX
15969,2013,603.9166667,Hutchinson County,TX
15970,2014,458.6666667,Hutchinson County,TX
15971,2015,431.1666667,Hutchinson County,TX
15972,2010,63,Jeff Davis County,TX
15973,2011,61.91666667,Jeff Davis County,TX
15974,2012,59.16666667,Jeff Davis County,TX
15975,2013,48.16666667,Jeff Davis County,TX
15976,2014,41.25,Jeff Davis County,TX
15977,2015,35,Jeff Davis County,TX
15978,2010,16929.83333,Montgomery County,TX
15979,2011,16376.41667,Montgomery County,TX
15980,2012,14212.75,Montgomery County,TX
15981,2013,13323.58333,Montgomery County,TX
15982,2014,11201,Montgomery County,TX
15983,2015,10939.33333,Montgomery County,TX
15984,2010,1142.583333,Palo Pinto County,TX
15985,2011,1066.666667,Palo Pinto County,TX
15986,2012,904.25,Palo Pinto County,TX
15987,2013,875.5,Palo Pinto County,TX
15988,2014,687.6666667,Palo Pinto County,TX
15989,2015,683.9166667,Palo Pinto County,TX
15990,2010,124.0833333,Schleicher County,TX
15991,2011,96.16666667,Schleicher County,TX
15992,2012,71.25,Schleicher County,TX
15993,2013,63.58333333,Schleicher County,TX
15994,2014,53.58333333,Schleicher County,TX
15995,2015,78.66666667,Schleicher County,TX
15996,2010,1121.5,Washington County,TX
15997,2011,1036.416667,Washington County,TX
15998,2012,880.25,Washington County,TX
15999,2013,861.25,Washington County,TX
16000,2014,721,Washington County,TX
16001,2015,730.25,Washington County,TX
16002,2010,16126,Williamson County,TX
16003,2011,15655.91667,Williamson County,TX
16004,2012,13836.33333,Williamson County,TX
16005,2013,13018.75,Williamson County,TX
16006,2014,11124.08333,Williamson County,TX
16007,2015,9096.75,Williamson County,TX
16008,2010,2189.416667,Nacogdoches County,TX
16009,2011,2139.75,Nacogdoches County,TX
16010,2012,1963.75,Nacogdoches County,TX
16011,2013,1904.333333,Nacogdoches County,TX
16012,2014,1527.333333,Nacogdoches County,TX
16013,2015,1317.833333,Nacogdoches County,TX
16014,2010,1120,San Jacinto County,TX
16015,2011,1096.916667,San Jacinto County,TX
16016,2012,944.5,San Jacinto County,TX
16017,2013,865.5,San Jacinto County,TX
16018,2014,657.0833333,San Jacinto County,TX
16019,2015,632,San Jacinto County,TX
16020,2010,106,Shackelford County,TX
16021,2011,94.75,Shackelford County,TX
16022,2012,77.58333333,Shackelford County,TX
16023,2013,75.91666667,Shackelford County,TX
16024,2014,65.33333333,Shackelford County,TX
16025,2015,59,Shackelford County,TX
16026,2010,3191.083333,San Patricio County,TX
16027,2011,2936.333333,San Patricio County,TX
16028,2012,2306.25,San Patricio County,TX
16029,2013,2202.666667,San Patricio County,TX
16030,2014,1913.333333,San Patricio County,TX
16031,2015,1965.583333,San Patricio County,TX
16032,2010,52.58333333,Throckmorton County,TX
16033,2011,60.66666667,Throckmorton County,TX
16034,2012,43.91666667,Throckmorton County,TX
16035,2013,39.66666667,Throckmorton County,TX
16036,2014,32.83333333,Throckmorton County,TX
16037,2015,24.83333333,Throckmorton County,TX
16038,2010,74.75,Collingsworth County,TX
16039,2011,75.66666667,Collingsworth County,TX
16040,2012,61.83333333,Collingsworth County,TX
16041,2013,62.41666667,Collingsworth County,TX
16042,2014,51.16666667,Collingsworth County,TX
16043,2015,46.5,Collingsworth County,TX
16044,2010,414.1666667,San Augustine County,TX
16045,2011,446,San Augustine County,TX
16046,2012,366.5,San Augustine County,TX
16047,2013,341.1666667,San Augustine County,TX
16048,2014,269.6666667,San Augustine County,TX
16049,2015,253.0833333,San Augustine County,TX
16050,2010,1956.5,Iron County,UT
16051,2011,1640.916667,Iron County,UT
16052,2012,1330.083333,Iron County,UT
16053,2013,1074.583333,Iron County,UT
16054,2014,904.5833333,Iron County,UT
16055,2015,906.0833333,Iron County,UT
16056,2010,421.0833333,Juab County,UT
16057,2011,376.3333333,Juab County,UT
16058,2012,281.9166667,Juab County,UT
16059,2013,236.6666667,Juab County,UT
16060,2014,195.75,Juab County,UT
16061,2015,196.0833333,Juab County,UT
16062,2010,282.5833333,Kane County,UT
16063,2011,260.1666667,Kane County,UT
16064,2012,230.0833333,Kane County,UT
16065,2013,185.8333333,Kane County,UT
16066,2014,170.4166667,Kane County,UT
16067,2015,160.5,Kane County,UT
16068,2010,74.83333333,Rich County,UT
16069,2011,70.66666667,Rich County,UT
16070,2012,49.91666667,Rich County,UT
16071,2013,45.33333333,Rich County,UT
16072,2014,39.08333333,Rich County,UT
16073,2015,38.25,Rich County,UT
16074,2010,17091.33333,Utah County,UT
16075,2011,14545.41667,Utah County,UT
16076,2012,11852.66667,Utah County,UT
16077,2013,10548.66667,Utah County,UT
16078,2014,8921,Utah County,UT
16079,2015,8693.5,Utah County,UT
16080,2010,3481,Cache County,UT
16081,2011,2973.75,Cache County,UT
16082,2012,2550.416667,Cache County,UT
16083,2013,2289.5,Cache County,UT
16084,2014,1888.833333,Cache County,UT
16085,2015,1844.833333,Cache County,UT
16086,2010,10260.58333,Davis County,UT
16087,2011,8842,Davis County,UT
16088,2012,7257.75,Davis County,UT
16089,2013,6485.833333,Davis County,UT
16090,2014,5589.666667,Davis County,UT
16091,2015,5424.583333,Davis County,UT
16092,2010,384.25,Emery County,UT
16093,2011,372,Emery County,UT
16094,2012,341.25,Emery County,UT
16095,2013,287.4166667,Emery County,UT
16096,2014,246.6666667,Emery County,UT
16097,2015,268.1666667,Emery County,UT
16098,2010,558.8333333,Grand County,UT
16099,2011,520,Grand County,UT
16100,2012,455.3333333,Grand County,UT
16101,2013,422.3333333,Grand County,UT
16102,2014,352.5,Grand County,UT
16103,2015,341.5833333,Grand County,UT
16104,2010,57.66666667,Piute County,UT
16105,2011,53.33333333,Piute County,UT
16106,2012,41.41666667,Piute County,UT
16107,2013,37.41666667,Piute County,UT
16108,2014,32.75,Piute County,UT
16109,2015,30.25,Piute County,UT
